phone_number,parcels_sent,parcels_received,avg_parcel_value,intl_shipments,delivery_delay,lost_parcels,pickup_usage,home_delivery_ratio,business_client,visa_card,preferred_delivery_method,money_transfers_frequency,ecommerce_shipper,utility_payments_at_branch,international_destination,shipment_cancelled_lastmin,marketing_consent
+9940506924095,11,5,96.92,1,1,0,1,0.023,1,1,branch,0,1,0,Russia,0,0
+9940776397257,11,5,169.77,1,1,0,0,0.865,1,0,home,0,1,1,Turkey,0,1
+9940701655669,6,8,34.2,4,0,0,1,0.584,0,0,branch,2,0,4,None,0,1
+9940705255055,7,6,126.46,0,2,0,1,0.825,0,0,home,2,0,3,UK,0,0
+9940556525271,4,3,119.43,0,1,0,1,0.793,0,0,home,0,0,4,None,0,0
+9940779550548,2,6,100.86,2,1,1,1,0.547,0,0,branch,1,0,0,UAE,0,0
+9940555730067,6,5,122.43,0,2,0,0,0.719,0,1,home,0,0,4,None,1,0
+9940554084422,0,6,166.97,2,0,0,1,0.907,0,0,home,2,0,0,None,0,0
+9940556002136,5,4,89.74,0,1,0,1,0.875,0,1,home,0,0,3,Russia,0,1
+9940512595119,4,7,8.7,0,1,0,0,0.032,0,0,branch,1,0,1,Turkey,1,1
+9940501816258,3,3,24.82,0,0,0,1,0.67,0,0,home,0,0,4,Turkey,1,0
+9940557102845,6,5,123.29,1,2,0,0,0.985,0,0,home,1,0,0,UAE,0,1
+9940779875650,4,5,101.31,1,0,0,1,0.715,0,0,home,1,0,3,Turkey,0,0
+9940508614067,4,8,77.03,0,3,0,0,0.797,0,1,home,1,0,0,None,1,1
+9940776252955,4,4,136.93,4,1,0,0,0.129,0,0,branch,1,0,2,None,0,0
+9940771362283,8,6,55.46,0,1,0,1,0.865,1,0,home,0,0,0,Russia,0,1
+9940519891738,9,5,42.72,0,1,0,1,0.266,1,1,branch,1,0,4,UAE,1,1
+9940705046693,4,4,107.85,0,1,0,0,0.395,0,0,branch,0,0,0,UAE,0,0
+9940503606968,8,6,121.64,1,2,0,1,0.624,1,0,home,0,0,4,None,0,1
+9940709032388,4,4,155.6,0,2,0,0,0.244,0,0,branch,3,0,1,UK,0,1
+9940707717624,4,5,56.98,1,3,0,0,0.578,0,0,branch,0,0,1,Turkey,1,1
+9940517746566,3,5,101.93,1,2,0,0,0.965,0,1,home,1,0,3,UAE,0,1
+9940503499777,2,5,112.43,1,1,0,1,0.526,0,0,branch,2,0,2,UK,0,0
+9940779926268,5,2,107.59,6,1,0,1,0.396,0,0,branch,1,0,3,Turkey,1,1
+9940555075807,10,4,51.03,0,0,0,0,0.923,1,1,home,1,0,2,Russia,0,1
+9940775782723,4,4,98.14,2,0,0,0,0.702,0,1,home,0,0,1,UK,1,1
+9940707758616,8,2,81.63,1,0,1,0,0.716,1,0,home,0,0,1,UAE,0,1
+9940706939960,6,3,72.72,2,1,0,1,0.251,0,1,branch,0,0,1,None,0,0
+9940702550583,6,5,90.61,1,0,0,1,0.444,0,0,branch,2,0,1,Russia,0,1
+9940503722322,7,12,51.3,0,2,0,0,0.185,0,0,branch,0,0,2,None,1,1
+9940514250670,7,5,140.69,1,2,0,0,0.457,0,0,branch,1,0,4,Turkey,0,1
+9940559527819,4,2,67.03,0,0,0,0,0.042,0,1,branch,0,0,3,UAE,1,1
+9940557430552,0,7,97.4,1,2,0,0,0.376,0,0,branch,3,0,4,Turkey,0,0
+9940504297019,4,3,51.8,0,0,0,0,0.51,0,1,branch,1,0,0,Turkey,0,1
+9940557612500,9,5,34.37,1,3,0,0,0.059,1,1,branch,0,0,2,UAE,0,0
+9940507646595,9,6,130.78,1,1,0,1,0.254,1,0,branch,0,0,2,UAE,1,0
+9940704547994,5,4,64.7,0,0,0,1,0.495,0,0,branch,0,0,1,Russia,1,1
+9940704628261,5,4,100.44,2,0,0,1,0.088,0,1,branch,1,0,0,Russia,0,0
+9940779048642,3,6,99.05,2,2,0,1,0.651,0,0,home,0,0,4,UAE,1,1
+9940706056369,1,6,144.95,0,0,0,0,0.1,0,1,branch,1,0,1,Russia,0,0
+9940512345640,4,5,103.98,1,0,0,0,0.713,0,0,home,0,0,4,Russia,0,1
+9940777478042,4,8,145.48,2,3,0,1,0.014,0,0,branch,1,0,0,UAE,0,1
+9940556306111,6,5,118.03,1,0,0,1,0.231,0,0,branch,0,0,3,Russia,0,1
+9940515580406,4,5,91.58,0,1,0,0,0.32,0,1,branch,0,0,1,Turkey,0,0
+9940777525937,7,9,42.13,2,0,0,1,0.081,0,1,branch,3,0,3,Russia,0,1
+9940519163776,2,4,150.75,1,0,0,1,0.143,0,1,branch,0,0,3,UAE,1,0
+9940503973925,3,8,88.99,2,4,0,0,0.345,0,1,branch,2,0,2,None,3,1
+9940554773708,5,3,129.1,0,1,0,1,0.444,0,0,branch,0,0,2,Russia,0,1
+9940702705456,5,7,164.78,1,1,0,0,0.534,0,1,branch,0,0,1,None,0,0
+9940506823645,7,4,148.33,0,0,0,1,0.905,0,0,home,0,0,3,UK,0,1
+9940554624424,6,8,131.84,1,1,0,1,0.556,0,0,branch,2,0,2,None,1,1
+9940504081261,10,5,86.54,0,0,1,0,0.654,1,0,home,0,0,4,None,0,0
+9940707268708,8,1,67.85,1,1,0,1,0.763,1,0,home,0,0,3,Turkey,1,1
+9940554673409,7,9,32.81,0,1,0,1,0.632,0,0,home,0,0,2,Russia,0,1
+9940515179310,3,4,109.79,0,1,0,0,0.83,0,1,home,0,0,2,None,0,0
+9940514960450,3,7,78.32,1,1,0,1,0.714,0,0,home,0,0,3,Russia,0,1
+9940553326843,3,7,155.93,2,0,1,0,0.893,0,1,home,1,0,4,UK,1,1
+9940702132263,7,3,46.6,0,1,0,1,0.758,0,0,home,0,0,0,Turkey,0,1
+9940778445103,2,8,119.64,0,0,0,1,0.006,0,0,branch,0,0,2,UAE,0,0
+9940551825513,5,4,105.2,1,1,0,1,0.182,0,1,branch,0,0,3,Russia,0,0
+9940503923909,9,1,73.57,0,2,0,0,0.84,1,0,home,0,0,1,None,0,1
+9940777007408,2,5,74.8,1,1,0,0,0.854,0,0,home,1,0,1,None,0,1
+9940702181654,2,2,82.24,2,0,0,1,0.484,0,0,branch,0,0,4,Turkey,0,0
+9940706899658,1,3,69.71,1,1,0,0,0.237,0,0,branch,0,0,3,UAE,1,0
+9940507597593,2,4,120.75,2,2,1,0,0.178,0,0,branch,1,0,3,Russia,0,0
+9940516966186,7,4,112.81,0,0,1,0,0.926,0,0,home,3,0,3,Russia,0,1
+9940703745293,5,8,39.37,1,2,0,0,0.649,0,0,home,0,0,4,None,0,0
+9940771177897,5,8,96.54,0,2,0,1,0.794,0,1,home,1,0,0,Russia,0,1
+9940558986169,13,4,61.66,0,0,0,1,0.705,1,1,home,1,1,1,Turkey,1,1
+9940773938921,4,3,135.28,0,0,0,0,0.099,0,0,branch,1,0,3,Germany,2,1
+9940778245054,6,3,131.94,0,1,0,1,0.143,0,1,branch,1,0,3,Russia,0,0
+9940512780288,5,5,139.46,2,1,0,1,0.858,0,0,home,0,0,3,None,0,1
+9940772461694,11,1,195.12,0,2,0,1,0.612,1,1,home,0,1,4,None,0,1
+9940518003362,4,5,121.42,1,1,0,1,0.086,0,0,branch,1,0,2,UK,0,0
+9940519457586,3,4,111.6,1,0,0,1,0.596,0,0,branch,0,0,0,Turkey,0,1
+9940708745672,5,4,128.99,0,1,0,0,0.149,0,0,branch,0,0,4,UK,0,0
+9940707761214,8,6,72.46,0,1,0,0,0.969,1,1,home,2,0,1,Russia,0,1
+9940503220123,2,6,162.6,1,1,0,0,0.657,0,0,home,1,0,1,Russia,0,1
+9940779218893,5,6,152.87,0,0,0,1,0.329,0,0,branch,0,0,3,None,0,1
+9940507010641,5,5,97.16,2,2,0,1,0.313,0,0,branch,1,0,2,None,0,1
+9940772549480,7,2,109.49,1,1,0,1,0.894,0,0,home,1,0,4,Russia,2,1
+9940502164265,5,5,122.61,1,0,0,1,0.686,0,0,home,2,0,1,Russia,1,0
+9940708840455,5,8,151.03,1,2,1,0,0.601,0,1,home,0,0,3,Turkey,1,1
+9940703476372,6,2,167.97,0,0,0,1,0.416,0,1,branch,0,0,3,Russia,0,1
+9940707893030,6,6,185.43,2,0,0,0,0.561,0,1,branch,0,0,3,Turkey,0,0
+9940702247890,8,3,55.23,2,0,0,0,0.934,1,1,home,0,0,4,Turkey,0,1
+9940553524850,4,6,120.42,2,1,0,0,0.895,0,0,home,2,0,4,None,0,0
+9940703551686,7,4,82.81,0,1,0,1,0.196,0,0,branch,0,0,0,None,2,0
+9940513529937,4,3,55.35,0,2,0,1,0.442,0,1,branch,1,0,3,Turkey,0,0
+9940707072628,6,6,32.71,2,2,0,1,0.479,0,0,branch,1,0,1,Turkey,0,0
+9940559229499,3,5,34.04,3,1,1,1,0.707,0,1,home,1,0,0,UAE,0,1
+9940559192941,2,6,45.29,1,1,0,1,0.025,0,0,branch,2,0,3,Russia,1,1
+9940557673952,8,6,19.79,1,1,0,0,0.279,1,0,branch,0,0,1,UAE,0,1
+9940552822701,3,3,62.07,0,2,1,1,0.331,0,0,branch,1,0,3,Turkey,2,1
+9940509645219,3,6,157.88,0,0,0,1,0.068,0,0,branch,0,0,2,UAE,0,1
+9940505878710,7,5,63.7,1,3,0,0,0.605,0,0,home,2,0,4,Turkey,1,1
+9940515913702,7,1,41.38,1,1,0,1,0.357,0,1,branch,2,0,1,UAE,0,1
+9940507312519,5,7,136.01,0,2,0,0,0.982,0,0,home,0,0,4,Turkey,0,0
+9940557921858,5,2,127.16,0,1,0,0,0.487,0,0,branch,1,0,4,None,0,1
+9940709576301,10,9,131.62,1,0,1,1,0.437,1,0,branch,1,0,3,UK,0,1
+9940706241415,6,3,158.32,0,0,1,0,0.69,0,0,home,1,0,1,Turkey,1,1
+9940556490543,5,2,179.51,0,1,0,0,0.885,0,1,home,0,0,4,Russia,0,1
+9940777709750,0,6,63.63,0,2,0,1,0.54,0,0,branch,0,0,0,Russia,0,0
+9940553295962,5,7,78.69,1,1,1,0,0.438,0,0,branch,0,0,2,Turkey,1,0
+9940503769415,5,4,141.04,0,2,1,1,0.821,0,1,home,2,0,2,UAE,0,1
+9940706629302,4,1,148.56,0,3,0,1,0.432,0,0,branch,0,0,2,None,0,1
+9940551577154,2,1,12.71,1,1,0,0,0.451,0,1,branch,0,0,3,None,0,1
+9940703884420,3,8,146.12,0,0,0,0,0.365,0,1,branch,0,0,0,Turkey,1,1
+9940557461961,3,4,78.32,0,0,0,1,0.77,0,1,home,2,0,3,UAE,0,1
+9940559785154,6,5,125.9,0,1,0,0,0.067,0,0,branch,2,0,0,Turkey,0,1
+9940505675466,9,5,117.22,2,3,0,1,0.057,1,1,branch,0,0,3,Turkey,0,1
+9940554597084,6,1,129.33,3,3,0,0,0.292,0,0,branch,2,0,4,Russia,0,1
+9940704963387,7,6,57.38,1,2,1,0,0.025,0,1,branch,0,0,3,UK,0,1
+9940517168848,4,11,104.62,1,2,0,1,0.174,0,1,branch,1,0,0,UAE,0,0
+9940705900274,6,5,149.75,0,0,1,1,0.391,0,0,branch,1,0,3,None,1,1
+9940501209048,7,7,65.38,0,0,0,0,0.112,0,0,branch,0,0,1,UAE,0,0
+9940515853159,7,7,93.37,1,3,0,1,0.81,0,1,home,1,0,3,Turkey,0,1
+9940554600552,7,6,121.58,1,1,0,0,0.999,0,1,home,0,0,0,Turkey,0,1
+9940777307214,2,6,60.15,2,0,0,1,0.172,0,1,branch,0,0,0,UK,0,0
+9940518875967,3,5,79.42,2,0,0,0,0.664,0,1,home,0,0,3,Turkey,0,0
+9940519662035,5,2,115.3,1,0,0,1,0.769,0,0,home,1,0,2,Russia,2,1
+9940556492046,8,6,136.54,3,1,0,1,0.532,1,1,branch,0,0,0,Russia,0,1
+9940774263058,9,1,41.49,0,1,0,0,0.804,1,1,home,1,0,2,Russia,1,1
+9940774995485,5,6,82.08,1,0,0,0,0.515,0,0,branch,2,0,3,Turkey,0,1
+9940502588154,7,6,43.49,2,1,0,0,0.584,0,0,branch,3,0,4,Turkey,0,1
+9940519423436,6,6,122.75,1,1,0,1,0.119,0,0,branch,1,0,4,UAE,0,1
+9940778625803,4,6,34.58,0,1,1,0,0.635,0,0,home,1,0,1,Russia,0,1
+9940508685858,10,3,85.85,5,2,0,0,0.135,1,0,branch,1,0,2,UAE,0,0
+9940773953110,8,4,82.91,1,3,0,1,0.4,1,0,branch,0,0,4,Turkey,0,0
+9940513899940,7,2,59.95,0,0,0,0,0.015,0,0,branch,1,0,2,None,0,1
+9940778709519,3,7,91.19,3,2,0,0,0.447,0,0,branch,0,0,4,UK,0,1
+9940515900935,6,3,89.35,1,0,0,0,0.512,0,0,branch,1,0,0,UAE,0,1
+9940557341904,8,9,59.68,0,2,0,1,0.621,1,0,home,1,0,3,Turkey,0,1
+9940705408417,2,6,123.49,0,1,0,0,0.861,0,1,home,0,0,0,UAE,0,0
+9940504984931,10,5,82.79,0,1,0,0,0.601,1,1,home,2,0,0,Russia,1,1
+9940556689821,2,3,66.99,0,0,0,0,0.564,0,1,branch,0,0,3,UK,0,1
+9940558316828,4,6,148.35,0,2,0,0,0.461,0,1,branch,0,0,3,None,0,1
+9940704007001,2,3,70.35,2,1,0,0,0.461,0,0,branch,0,0,3,None,1,1
+9940778282305,6,7,153.23,0,1,0,1,0.871,0,0,home,2,0,3,Turkey,0,0
+9940703197844,3,8,56.03,1,1,0,0,0.121,0,0,branch,1,0,3,UK,0,1
+9940554625447,6,3,56.45,3,2,1,1,0.344,0,1,branch,2,0,4,UAE,0,1
+9940559214045,8,3,91.26,2,2,1,0,0.512,1,0,branch,1,0,3,UAE,0,0
+9940559590077,3,6,89.44,2,0,0,1,0.614,0,1,home,0,0,2,Turkey,0,1
+9940779314869,6,5,79.48,2,0,1,0,0.477,0,0,branch,0,0,1,UK,0,1
+9940513844396,4,4,58.83,3,0,0,1,0.714,0,0,home,0,0,1,UK,0,1
+9940508589905,7,9,120.32,1,2,0,1,0.988,0,0,home,0,0,3,UAE,0,0
+9940519424784,11,10,70.47,1,0,0,0,0.851,1,0,home,0,1,4,UK,1,1
+9940509803838,5,2,111.11,0,2,0,0,0.875,0,1,home,1,0,2,Russia,0,1
+9940501188130,1,7,139.2,1,0,0,0,0.057,0,0,branch,0,0,2,UAE,0,0
+9940507704922,4,3,95.06,2,1,0,0,0.337,0,0,branch,1,0,0,None,0,1
+9940709970710,6,11,194.82,1,1,0,0,0.767,0,0,home,2,0,4,None,1,0
+9940707882004,0,8,102.16,0,0,0,0,0.612,0,1,home,0,0,1,Turkey,0,1
+9940703098569,5,7,56.42,1,0,0,0,0.179,0,0,branch,2,0,1,Russia,0,1
+9940557863310,5,4,122.46,0,1,0,0,0.012,0,0,branch,0,0,1,Russia,0,0
+9940701947197,3,6,116.98,0,2,0,1,0.371,0,0,branch,0,0,1,Turkey,0,1
+9940505325468,4,5,49.66,1,0,0,0,0.556,0,1,branch,0,0,0,UAE,0,0
+9940776636047,2,4,116.04,1,0,0,1,0.124,0,0,branch,2,0,3,Russia,0,0
+9940555108069,8,2,108.55,1,1,0,1,0.69,1,0,home,0,0,2,Turkey,0,0
+9940777298501,6,6,111.06,0,1,0,0,0.478,0,0,branch,0,0,3,UAE,0,0
+9940503162036,2,6,94.46,1,0,0,1,0.902,0,0,home,0,0,2,UAE,0,1
+9940556455984,3,4,58.65,1,2,0,1,0.054,0,0,branch,0,0,3,Turkey,0,1
+9940706803372,7,3,81.57,2,1,1,1,0.722,0,1,home,0,0,1,Turkey,0,1
+9940556704164,2,7,143.16,1,1,0,0,0.647,0,1,home,0,0,0,UAE,0,1
+9940553603880,10,2,19.02,2,0,0,1,0.254,1,0,branch,2,0,3,UK,0,0
+9940503748434,5,4,209.06,2,0,0,0,0.154,0,1,branch,0,0,3,Germany,0,1
+9940513320275,5,2,82.0,2,0,1,1,0.879,0,0,home,1,0,1,None,0,1
+9940515155993,3,5,55.4,2,0,0,0,0.369,0,1,branch,0,0,4,UK,0,1
+9940516273651,5,2,126.83,0,2,1,0,0.027,0,0,branch,0,0,4,UAE,0,1
+9940704262823,5,7,126.49,2,2,0,1,0.911,0,0,home,0,0,2,Russia,0,0
+9940704689841,7,2,92.49,1,1,0,1,0.353,0,0,branch,3,0,4,None,0,0
+9940703577702,4,6,80.72,0,3,1,1,0.343,0,0,branch,0,0,0,UAE,2,0
+9940512969709,6,4,111.73,2,1,0,1,0.301,0,0,branch,1,0,2,Russia,0,1
+9940776916943,4,7,43.32,1,3,0,0,0.804,0,0,home,1,0,1,UK,0,1
+9940508344503,5,3,177.72,0,3,0,1,0.586,0,1,branch,1,0,0,Turkey,1,1
+9940513616339,10,7,133.78,2,1,0,1,0.922,1,1,home,4,0,2,Turkey,0,1
+9940508745128,3,7,119.07,1,1,0,1,0.934,0,0,home,0,0,1,None,0,1
+9940516138802,6,8,131.16,2,0,0,1,0.876,0,1,home,0,0,1,Turkey,0,1
+9940772509295,6,4,67.9,0,2,0,0,0.354,0,1,branch,1,0,3,None,2,1
+9940514293991,8,6,39.46,0,1,1,1,0.779,1,0,home,0,0,2,Russia,0,1
+9940771067563,3,2,36.25,1,4,0,0,0.931,0,0,home,0,0,1,Germany,1,1
+9940551352525,7,6,96.13,0,2,1,0,0.372,0,1,branch,2,0,1,Turkey,0,1
+9940704025169,4,4,45.88,1,0,0,1,0.149,0,1,branch,0,0,4,UAE,0,0
+9940555090161,2,10,109.95,0,0,0,1,0.497,0,0,branch,2,0,1,None,0,1
+9940518177596,4,3,50.48,0,1,0,0,0.96,0,0,home,0,0,2,UK,0,1
+9940702208721,5,5,97.91,0,1,1,1,0.948,0,0,home,0,0,4,UAE,0,0
+9940778552563,5,5,86.89,1,2,1,1,0.633,0,0,home,0,0,1,UAE,0,1
+9940513110704,6,9,69.43,0,0,0,0,0.48,0,1,branch,0,0,0,None,0,1
+9940702244961,4,7,97.05,0,3,0,1,0.326,0,1,branch,0,0,3,None,1,1
+9940517299033,3,0,177.44,1,0,0,1,0.222,0,0,branch,1,0,1,Turkey,0,0
+9940707969022,3,5,169.93,0,2,1,0,0.775,0,0,home,0,0,3,None,0,1
+9940706444209,5,0,66.46,0,1,0,0,0.433,0,0,branch,0,0,2,Russia,0,1
+9940552041337,5,4,93.35,1,1,0,1,0.164,0,1,branch,1,0,1,Turkey,0,1
+9940702038102,4,1,108.7,1,1,0,0,0.687,0,0,home,0,0,4,Germany,0,1
+9940514510562,6,7,127.64,1,2,0,0,0.942,0,1,home,1,0,3,None,0,0
+9940505055400,3,4,43.31,0,1,1,0,0.348,0,0,branch,2,0,2,None,0,1
+9940509987484,4,6,137.18,1,2,0,1,0.693,0,0,home,0,0,1,Turkey,0,0
+9940553578275,2,4,50.16,2,1,0,1,0.234,0,1,branch,2,0,4,UAE,0,1
+9940772733317,5,8,105.77,1,1,0,1,0.052,0,0,branch,1,0,2,UAE,0,1
+9940509513110,10,4,112.77,0,0,0,1,0.506,1,0,branch,0,0,2,None,0,1
+9940552385672,6,9,63.43,0,0,0,1,0.704,0,0,home,0,0,2,Turkey,1,1
+9940701237622,6,3,97.85,1,2,0,1,0.023,0,0,branch,0,0,0,None,0,0
+9940514805202,5,8,76.91,1,1,0,1,0.962,0,0,home,1,0,2,UK,0,0
+9940704609735,5,5,110.37,0,1,0,1,0.728,0,0,home,0,0,4,Turkey,0,0
+9940516577016,6,4,67.59,0,0,0,1,0.542,0,0,branch,0,0,0,UAE,0,1
+9940778899611,10,5,42.01,2,3,0,0,0.961,1,1,home,0,0,0,UAE,0,1
+9940559396106,5,3,123.38,0,2,0,0,0.404,0,0,branch,1,0,2,Turkey,0,1
+9940553606749,6,1,81.6,2,1,0,1,0.415,0,1,branch,0,0,4,UAE,0,1
+9940509827389,1,2,61.34,1,3,0,1,0.158,0,1,branch,2,0,0,Russia,1,1
+9940556693949,4,4,86.99,0,1,0,1,0.633,0,0,home,0,0,0,UK,1,1
+9940771626765,8,7,118.92,1,1,0,1,0.572,1,0,branch,0,0,1,UK,0,0
+9940509446017,5,3,69.13,0,0,0,0,0.341,0,1,branch,0,0,1,None,0,1
+9940702241977,3,2,87.83,0,2,0,1,0.297,0,0,branch,2,0,4,Turkey,0,1
+9940556297360,6,3,76.01,0,1,0,0,0.76,0,0,home,1,0,2,Russia,0,1
+9940708116640,7,6,51.1,4,0,0,1,0.224,0,1,branch,1,0,3,Turkey,0,0
+9940703244943,11,2,90.64,0,1,0,1,0.221,1,0,branch,1,1,1,Russia,0,0
+9940553435689,2,4,74.88,1,1,0,0,0.241,0,0,branch,0,0,3,Turkey,0,0
+9940515285593,6,4,9.22,2,1,1,1,0.693,0,0,home,1,0,0,Turkey,1,0
+9940708963640,4,6,146.69,2,0,1,0,0.405,0,0,branch,1,0,3,UAE,0,1
+9940503012429,4,6,124.82,1,0,0,1,0.807,0,0,home,0,0,0,UAE,0,1
+9940556971078,6,3,119.87,0,0,0,0,0.814,0,1,home,0,0,3,None,0,1
+9940505073324,6,9,61.42,1,1,0,1,0.884,0,0,home,0,0,1,UK,0,1
+9940702006603,5,4,110.55,2,1,0,1,0.092,0,1,branch,1,0,0,None,0,0
+9940707397890,2,4,41.32,1,0,0,0,0.509,0,0,branch,1,0,2,Turkey,0,0
+9940508492762,2,5,82.32,1,1,0,0,0.506,0,0,branch,1,0,1,Germany,0,1
+9940706180705,7,4,85.47,1,1,0,0,0.127,0,1,branch,0,0,0,UAE,1,0
+9940552587207,6,7,131.27,0,0,0,1,0.218,0,0,branch,1,0,0,Turkey,0,1
+9940702401530,7,13,33.71,1,2,0,1,0.438,0,0,branch,0,0,3,UAE,0,1
+9940504811458,8,10,156.41,0,2,0,1,0.685,1,1,home,1,0,4,UK,0,1
+9940505557768,7,6,114.37,1,1,1,1,0.808,0,1,home,0,0,1,Turkey,0,1
+9940555969663,4,10,90.78,1,0,0,0,0.262,0,0,branch,1,0,3,UAE,0,0
+9940503192903,6,5,130.09,1,1,0,1,0.362,0,1,branch,0,0,4,None,0,0
+9940515506894,5,5,128.53,0,1,0,0,0.78,0,1,home,3,0,2,Russia,0,1
+9940703655710,8,4,72.58,2,0,0,0,0.898,1,0,home,0,0,4,UK,0,1
+9940507175465,8,2,125.22,0,3,0,1,0.81,1,1,home,0,0,4,UAE,0,0
+9940708168266,1,3,103.13,0,0,0,0,0.917,0,0,home,0,0,3,None,0,1
+9940506874179,4,4,114.31,0,0,0,0,0.68,0,1,home,0,0,0,None,1,1
+9940501011226,7,1,188.06,0,0,0,1,0.589,0,1,branch,2,0,1,None,1,1
+9940559928377,11,2,158.81,2,0,0,1,0.626,1,0,home,0,1,0,None,0,0
+9940701213908,2,5,173.12,2,0,0,1,0.904,0,0,home,1,0,0,Russia,1,1
+9940509994796,5,3,67.5,1,0,0,1,0.393,0,0,branch,1,0,0,Turkey,0,1
+9940511285970,9,4,132.15,0,0,0,1,0.109,1,0,branch,2,0,0,None,0,1
+9940775648134,6,3,121.24,0,0,1,1,0.478,0,0,branch,0,0,1,Turkey,0,1
+9940771953738,4,5,128.82,1,3,0,0,0.999,0,1,home,1,0,0,UK,0,1
+9940551856791,2,2,87.33,2,0,0,0,0.747,0,0,home,0,0,2,UAE,0,1
+9940557150562,3,2,45.51,0,0,0,0,0.632,0,0,home,0,0,4,Turkey,1,1
+9940517550588,5,3,114.08,1,0,0,0,0.536,0,0,branch,0,0,0,Turkey,0,1
+9940702064129,3,6,115.14,0,0,0,1,0.17,0,1,branch,3,0,1,Turkey,0,1
+9940559789975,3,3,94.97,2,0,0,1,0.216,0,1,branch,2,0,2,Russia,0,1
+9940513884152,10,8,98.94,1,1,0,1,0.242,1,1,branch,3,0,2,UK,0,0
+9940503864937,7,3,89.33,2,1,0,1,0.533,0,0,branch,1,0,3,UAE,0,1
+9940503672795,9,6,71.46,1,3,0,0,0.513,1,0,branch,1,0,2,Turkey,0,0
+9940775150879,4,4,64.16,2,1,0,0,0.298,0,0,branch,1,0,2,Turkey,1,1
+9940552600507,7,1,98.89,2,1,0,1,0.556,0,1,branch,1,0,0,Turkey,1,1
+9940554822991,3,5,92.41,0,0,0,0,0.496,0,0,branch,0,0,2,None,0,1
+9940552889831,4,2,141.98,1,0,0,0,0.924,0,1,home,2,0,4,Russia,0,1
+9940701462772,2,5,72.99,2,0,0,0,0.757,0,0,home,0,0,3,UAE,1,1
+9940504318630,0,3,125.64,0,0,0,0,0.134,0,0,branch,0,0,3,Russia,0,1
+9940507050379,4,4,164.42,0,0,0,1,0.988,0,1,home,1,0,3,None,0,1
+9940517867807,5,5,76.04,1,0,0,0,0.531,0,1,branch,1,0,2,Turkey,0,1
+9940554180038,4,3,48.53,0,4,0,0,0.947,0,0,home,0,0,1,None,0,0
+9940703913715,3,3,109.35,0,1,0,1,0.936,0,0,home,0,0,3,Russia,1,1
+9940558087174,2,3,69.41,1,1,1,1,0.967,0,1,home,1,0,0,None,1,0
+9940557130694,2,7,130.21,2,1,0,0,0.534,0,0,branch,1,0,3,Russia,0,1
+9940778489079,1,4,135.87,1,1,0,1,0.782,0,1,home,3,0,1,Turkey,0,1
+9940509154911,8,9,108.16,0,0,0,0,0.883,1,1,home,0,0,2,UAE,0,1
+9940558391076,10,4,112.36,0,1,0,0,0.856,1,1,home,0,0,3,None,0,1
+9940559428369,4,8,130.42,1,0,0,1,0.721,0,1,home,1,0,4,UK,0,0
