phone_number,monthly_spend,total_spent,avg_parcel_value,cltv,support_calls,downtime_hours,payment_delay_days,complaints,flights_per_month,trips,intl_ratio,extra_baggage_tendency,next_booked_flight_days,last_flight_days,login_freq,verified,app_ratio,digital_literacy_score_enc,biometric_enabled,sso_usage,loyalty_points,loyalty,parcels_sent,intl_shipments,money_transfers_frequency,data_usage_gb,speed_mbps,device_count,tenure_months,customer_satisfaction_score,smart_home_devices,services,security_alerts,digital_signature_used,govt_services_usage,revenue_score,risk_score,digital_score,loyalty_score,mobility_score,cross_sell_potential,travel_imminent,high_data_user,is_business_persona,churn_score,cluster,segment,churn_tier
+9940709296671,42.19,143.4,44.53,717.26,0,2.99,0,3,4,1,0.597,3,52,199,28.3,1,0.616,1,1,0,48751,128,3,1,0,159.7,50,5,17,3,0,6,0,2,7,207.85500000000002,4.99,53.620000000000005,48886.1726,15.985,10.392750000000001,0,0,1,0.12394776824887832,0,Digital Power User,🟢 Loyal
+9940706828952,125.63,161.17,161.59,5025.03,4,1.24,1,1,3,1,0.833,3,-4,182,16.4,0,0.267,0,0,0,39507,115,5,0,2,36.9,20,2,40,5,0,2,0,1,4,367.59499999999997,8.24,21.74,39672.2503,14.165,14.7038,0,0,1,0.5288390788227367,2,Standard,🟡 Medium Risk
+9940703872408,106.91,266.96,155.04,3527.93,0,0.25,1,0,0,4,0.18,0,49,123,16.5,0,0.361,0,0,0,40518,456,7,0,1,143.8,20,4,33,3,0,3,0,3,1,451.39,3.25,23.72,41009.2793,4.9,13.5417,0,0,1,0.1002139259349062,0,Digital Power User,🟢 Loyal
+9940554725433,116.89,308.71,138.43,4207.95,0,0.54,1,0,1,0,0.854,1,74,317,19.4,1,0.144,2,0,0,29744,0,12,1,3,37.4,50,1,36,4,0,1,0,2,7,494.81499999999994,3.54,30.279999999999998,29786.0795,7.27,19.792599999999997,0,0,1,0.14437684012712299,0,Digital Power User,🟢 Loyal
+9940507535620,122.61,183.09,141.8,5026.87,1,5.51,0,1,2,1,0.92,3,-3,40,24.8,0,0.495,2,0,0,24407,102,7,0,0,97.9,50,1,41,1,1,4,0,0,2,376.6,6.51,34.7,24559.2687,11.600000000000001,15.064,0,0,1,0.16398089747945024,3,Standard,🟢 Loyal
+9940777476081,12.21,144.31,17.62,134.33,0,3.44,1,1,0,0,0.019,3,-3,137,46.3,1,0.942,2,1,1,19845,0,2,1,2,360.1,200,4,11,3,1,9,0,0,4,165.33,8.44,81.14,19846.3433,0.095,4.9599,0,1,1,0.7529953178594186,2,Standard,🔴 High Risk
+9940555149894,74.53,140.96,73.33,1341.62,4,2.27,2,0,4,0,0.641,2,30,168,8.3,0,0.14,0,0,0,20017,0,4,1,0,10.0,50,2,18,2,0,1,1,1,3,252.155,9.27,11.100000000000001,20030.4162,15.205,7.56465,0,0,0,0.228220149108489,1,Standard,🟢 Loyal
+9940553726103,84.25,114.72,89.24,2106.15,2,4.68,0,1,1,2,0.095,1,84,65,6.3,0,0.09,2,0,0,20688,380,8,0,0,23.6,20,2,25,5,0,0,0,0,6,243.59,9.68,8.1,21089.0615,5.475,9.7436,0,0,1,0.19472566302385022,3,Standard,🟢 Loyal
+9940516939561,88.73,244.42,90.74,1951.98,1,1.04,2,0,1,2,0.647,3,18,2,40.2,1,0.871,2,1,1,9149,270,2,0,0,185.7,200,1,22,4,0,8,2,0,1,378.52,4.04,73.62,9438.5198,8.235,18.926,0,0,1,0.14202639085435967,3,Standard,🟢 Loyal
+9940506924095,78.14,310.75,96.92,2187.99,2,0.39,1,0,1,0,0.896,0,22,302,28.7,1,0.71,2,1,1,2425,0,11,1,0,223.8,200,2,28,4,0,7,0,2,9,437.34999999999997,3.39,58.9,2446.8799,7.48,17.494,0,0,1,0.1772526295130974,3,Standard,🟢 Loyal
+9940776397257,125.29,245.92,169.77,4259.9,1,0.03,1,1,4,1,0.18,3,33,171,22.8,1,0.432,2,0,0,25947,109,11,1,0,103.9,50,2,34,4,0,4,0,1,8,456.09499999999997,2.0300000000000002,39.44,26098.599,13.9,22.80475,0,0,1,0.09486334269641006,0,Digital Power User,🟢 Loyal
+9940701655669,13.4,195.6,34.2,160.84,1,0.84,3,2,1,6,0.494,3,14,12,9.8,1,0.147,0,0,0,25995,516,6,4,2,76.8,20,4,12,4,1,1,0,1,8,226.1,2.84,20.740000000000002,26512.6084,11.469999999999999,11.305,1,0,0,0.32117388851187284,1,Standard,🟢 Loyal
+9940705255055,109.73,389.2,126.46,3072.41,0,1.09,0,0,2,2,0.096,3,67,52,24.2,1,0.329,1,0,0,32535,166,7,0,2,97.9,20,5,28,1,1,3,0,1,2,562.16,3.09,38.78,32731.7241,8.48,28.107999999999997,0,0,0,0.07605480548128579,1,Standard,🟢 Loyal
+9940556525271,110.18,198.13,119.43,3856.18,0,1.45,1,1,0,1,0.65,1,53,102,19.2,1,0.383,1,0,0,9369,80,4,0,0,168.8,100,1,35,2,1,3,0,2,4,368.025,4.45,34.86,9487.5618,4.25,14.720999999999998,0,0,1,0.2542752922416765,3,Standard,🟢 Loyal
+9940779550548,77.85,336.94,100.86,2491.13,1,2.13,0,0,1,5,0.118,1,21,129,25.2,1,0.545,2,0,0,6427,675,2,2,1,146.4,200,1,32,5,0,5,0,0,3,465.21999999999997,5.13,44.1,7126.9113,8.59,23.261,0,0,0,0.1147427560383873,1,Standard,🟢 Loyal
+9940555730067,75.56,367.89,122.43,1964.56,2,1.43,1,0,3,0,0.972,1,46,104,34.8,1,0.698,0,1,0,47583,0,6,0,0,145.2,50,4,26,4,0,6,0,2,4,504.66499999999996,5.43,61.76,47602.6456,13.86,20.1866,0,0,1,0.12474139746841036,0,Digital Power User,🟢 Loyal
+9940554084422,126.03,220.87,166.97,5419.41,2,0.91,1,2,4,1,0.321,0,82,138,16.2,0,0.322,1,0,0,23669,121,0,2,2,106.1,20,5,43,5,2,3,1,2,2,430.385,4.91,22.64,23844.1941,14.605,12.91155,0,0,0,0.12958639108579786,1,Standard,🟢 Loyal
+9940556002136,84.31,101.07,89.74,1854.72,1,1.09,1,0,2,2,0.185,1,84,88,37.9,1,0.804,1,1,1,13872,132,5,0,0,231.2,50,2,22,1,0,8,1,0,1,230.25,3.09,69.98,14022.5472,8.925,11.5125,0,0,1,0.1098508426132067,3,Standard,🟢 Loyal
+9940512595119,17.06,1922.54,8.7,34.12,1,1.94,1,1,2,1,0.953,3,78,27,25.9,0,0.498,1,0,0,17798,117,4,0,1,76.6,20,5,2,1,2,4,0,2,2,1943.9499999999998,3.94,35.86,17915.3412,11.765,77.758,0,0,1,0.17333890402266405,4,Standard,🟢 Loyal
+9940501816258,34.79,118.6,24.82,382.72,1,1.98,3,2,4,0,0.644,2,38,359,20.7,0,0.33,2,0,0,2858,0,3,0,0,56.7,50,1,11,4,0,3,1,2,8,165.79999999999998,6.98,27.3,2861.8272,15.22,4.974,0,0,0,0.17071782505275174,1,Standard,🟢 Loyal
+9940557102845,92.3,206.11,123.29,2492.19,0,2.13,0,1,3,3,0.487,0,54,225,17.2,0,0.297,0,0,0,44404,588,6,1,1,59.6,50,4,27,1,0,2,0,2,0,360.055,7.13,23.14,45016.9219,14.435,14.4022,0,0,0,0.09469916038742077,1,Standard,🟢 Loyal
+9940779875650,96.11,153.59,101.31,2018.38,2,1.75,1,2,2,1,0.754,0,13,71,10.8,0,0.147,2,0,0,40116,120,4,1,1,106.2,100,5,21,1,0,1,1,0,2,300.355,4.75,13.74,40256.1838,10.77,12.0142,1,0,0,0.14300039247383076,1,Standard,🟢 Loyal
+9940508614067,70.18,50.0,77.03,1684.29,0,1.91,0,1,0,1,0.866,0,88,187,33.9,1,0.727,1,1,1,35569,155,4,0,1,246.4,20,3,24,2,0,7,1,2,8,158.695,4.91,64.44,35740.8429,5.33,6.347799999999999,0,0,1,0.5069365617426829,0,Digital Power User,🟡 Medium Risk
+9940776252955,109.52,1117.09,136.93,2957.05,4,3.2,1,1,0,1,0.809,3,59,147,7.9,0,0.202,2,0,0,39652,63,4,4,1,46.8,50,3,27,4,0,2,0,2,9,1295.0749999999998,8.2,11.940000000000001,39744.5705,5.045,38.85225,0,0,1,0.22148978141205963,4,Standard,🟢 Loyal
+9940771362283,55.67,137.41,55.46,890.74,0,0.67,1,1,2,1,0.356,3,-6,241,27.6,0,0.441,2,0,0,45151,168,8,0,0,151.1,20,2,16,5,0,4,1,0,3,220.80999999999997,2.67,36.42,45327.9074,8.78,8.8324,0,0,1,0.06446563610862527,0,Digital Power User,🟢 Loyal
+9940519891738,29.34,50.0,42.72,352.03,1,5.02,2,1,1,2,0.396,2,84,187,30.3,1,0.721,2,1,1,32434,120,9,0,1,134.6,50,4,12,5,1,7,0,0,5,100.7,8.02,60.72,32557.5203,6.98,5.035,0,0,1,0.18931213808081912,0,Digital Power User,🟢 Loyal
+9940705046693,93.68,245.27,107.85,2435.6,2,5.72,3,3,1,1,0.527,3,27,300,7.7,1,0.114,1,0,0,17859,98,4,0,0,11.6,200,5,26,3,0,1,0,3,1,392.87500000000006,9.719999999999999,17.98,17981.356,6.635,19.64375,0,0,0,0.3881827587922348,1,Standard,🟢 Loyal
+9940503606968,77.2,266.52,121.64,1544.0,1,3.59,2,0,2,2,0.586,1,17,52,20.2,1,0.408,2,0,0,4770,190,8,1,0,138.5,100,5,20,4,1,4,1,2,3,404.53999999999996,6.59,36.36,4975.44,10.93,20.226999999999997,0,0,1,0.12544129107582533,3,Standard,🟢 Loyal
+9940709032388,126.93,261.67,155.6,4315.77,1,5.55,1,4,3,2,0.301,3,17,118,27.0,1,0.458,1,0,0,8123,248,4,0,3,144.1,200,5,34,2,0,4,0,3,0,466.40000000000003,8.55,44.16,8414.1577,12.504999999999999,23.32,0,0,0,0.14686310899108404,1,Standard,🟢 Loyal
+9940707717624,22.9,370.32,56.98,366.42,1,1.8,1,3,2,4,0.136,3,8,211,20.8,1,0.398,1,0,0,22212,360,4,1,0,98.0,20,1,16,4,0,3,0,2,8,421.71,6.8,36.760000000000005,22575.6642,10.68,21.085499999999996,1,0,0,0.22303612977750176,1,Standard,🟢 Loyal
+9940517746566,87.58,1649.32,101.93,2189.55,5,3.02,0,1,3,3,0.439,2,6,185,37.4,1,0.764,1,1,1,41525,534,3,1,1,227.8,200,3,25,5,1,7,0,2,1,1787.8649999999998,10.02,68.68,42080.8955,14.195,89.39325,1,0,1,0.1988853708586527,4,Standard,🟢 Loyal
+9940503499777,93.07,90.26,112.43,2699.11,4,1.35,1,0,1,1,0.815,0,28,137,16.5,1,0.335,1,0,0,16867,138,2,1,2,113.9,200,3,29,4,1,3,0,0,4,239.545,7.35,31.2,17031.9911,8.075,11.97725,0,0,0,0.20700856237224044,1,Standard,🟢 Loyal
+9940779926268,83.9,196.56,107.59,1929.68,1,0.95,0,1,1,2,0.276,3,67,283,19.0,0,0.442,2,0,0,21183,286,5,6,1,132.3,100,1,23,1,2,4,0,0,1,334.25500000000005,3.95,27.84,21488.2968,6.38,13.370200000000002,0,0,1,0.159010908951411,3,Standard,🟢 Loyal
+9940555075807,46.04,188.09,51.03,690.67,2,7.57,1,0,0,2,0.375,1,47,139,36.0,1,0.843,2,1,1,47319,346,10,0,1,287.4,200,5,15,2,2,8,2,1,5,259.645,10.57,68.86,47671.9067,3.875,10.3858,0,0,1,0.7131453974365097,2,Standard,🔴 High Risk
+9940775782723,87.9,213.36,98.14,2021.64,0,0.76,2,4,0,1,0.274,0,42,129,36.5,0,0.736,2,1,1,28653,89,4,2,0,233.5,20,1,23,5,0,7,1,0,3,350.33,0.76,59.22,28762.2164,2.37,10.5099,0,0,1,0.07174046213875696,0,Digital Power User,🟢 Loyal
+9940707758616,68.03,283.6,81.63,1360.68,1,1.88,0,3,3,1,0.61,3,38,173,22.3,0,0.419,1,0,0,44315,130,8,1,0,146.1,100,3,20,4,0,4,0,0,5,392.445,3.88,30.68,44458.6068,13.05,15.697799999999999,0,0,1,0.0841665338135173,0,Digital Power User,🟢 Loyal
+9940706939960,53.97,174.42,72.72,809.56,1,0.17,0,3,1,3,0.952,2,82,203,32.0,1,0.67,0,1,0,36079,186,6,2,0,269.6,200,1,15,5,1,6,0,0,0,264.75,2.17,58.4,36273.0956,10.76,13.2375,0,0,1,0.0885235406198843,0,Digital Power User,🟢 Loyal
+9940702550583,71.3,303.29,90.61,1711.12,1,1.98,1,2,0,1,0.18,2,72,67,20.3,0,0.169,1,0,0,25868,192,6,1,2,83.8,20,4,24,1,2,1,2,1,2,419.89500000000004,7.98,23.68,26077.1112,1.9,12.596850000000002,0,0,1,0.13983494272665123,3,Standard,🟢 Loyal
+9940503722322,41.44,122.87,51.3,538.72,4,0.66,2,0,0,2,0.78,3,31,205,28.9,0,0.487,1,0,0,31095,386,7,0,0,215.6,50,1,13,2,0,4,0,0,2,189.96,7.66,38.64,31486.3872,5.9,5.6988,0,0,0,0.20737400681036305,1,Standard,🟢 Loyal
+9940514250670,128.1,885.42,140.69,4995.89,0,2.08,1,0,2,4,0.665,0,82,94,28.1,1,0.573,0,1,0,36494,484,7,1,1,145.1,50,3,39,3,0,5,2,0,5,1083.865,6.08,52.56,37027.9589,13.325,54.19325,0,0,1,0.07707886750314888,4,Standard,🟢 Loyal
+9940559527819,57.08,88.89,67.03,1027.5,0,0.25,0,1,2,0,0.987,3,86,95,40.2,0,0.974,2,1,1,40131,0,4,0,0,228.6,20,3,18,4,0,9,1,1,2,179.485,1.25,67.68,40141.275,10.934999999999999,5.384550000000001,0,0,1,0.11389078486901758,0,Digital Power User,🟢 Loyal
+9940557430552,81.49,1628.72,97.4,1792.76,1,0.36,1,1,1,1,0.1,1,79,233,15.9,1,0.147,1,0,0,35198,197,0,1,3,38.6,20,1,22,1,1,1,2,1,4,1758.91,3.36,26.84,35412.9276,4.5,70.35640000000001,0,0,1,0.07833497169577272,4,Standard,🟢 Loyal
+9940504297019,64.06,1532.45,51.8,768.68,3,2.5,1,0,0,1,0.909,3,54,195,40.1,1,0.82,0,1,1,8811,144,4,0,1,237.0,50,5,12,4,1,8,0,2,0,1622.41,6.5,72.5,8962.6868,5.545,64.8964,0,0,1,0.18126201153779922,4,Standard,🟢 Loyal
+9940557612500,35.33,289.49,34.37,317.93,2,0.11,1,3,1,2,0.808,0,35,337,26.1,0,0.661,0,1,0,12445,188,9,1,0,256.6,20,1,9,4,2,6,0,1,9,342.005,5.109999999999999,44.32,12636.1793,9.04,13.6802,0,0,1,0.13096120960834928,3,Standard,🟢 Loyal
+9940507646595,128.8,310.25,130.78,3735.07,1,0.21,2,0,1,2,0.906,2,28,89,8.6,0,0.114,2,0,0,4365,208,9,1,0,10.0,100,4,29,3,1,1,1,4,3,504.44,2.21,10.879999999999999,4610.3507,9.530000000000001,20.177599999999998,0,0,1,0.07748834718643643,3,Standard,🟢 Loyal
+9940704547994,66.95,418.66,64.7,602.59,3,0.73,2,0,2,3,0.751,1,62,184,24.3,1,0.511,1,0,0,14344,288,5,0,0,150.2,20,1,9,5,1,5,1,0,9,517.96,3.73,42.52,14638.0259,12.754999999999999,25.898000000000003,0,0,1,0.17176047673974756,3,Standard,🟢 Loyal
+9940704628261,85.91,293.14,100.44,1975.87,0,4.87,0,0,3,6,0.281,1,56,55,38.7,1,0.818,1,1,1,16861,438,5,2,1,261.5,20,4,23,4,1,8,0,1,6,429.27,5.87,71.06,17318.7587,16.405,21.4635,0,0,1,0.16440529417813038,3,Standard,🟢 Loyal
+9940779048642,54.68,50.0,99.05,929.58,0,0.11,1,0,1,4,0.417,3,-4,133,27.1,1,0.534,0,0,0,6314,540,3,2,0,164.2,100,2,17,4,0,5,0,0,8,154.205,2.11,45.78,6863.2958,9.085,7.710250000000001,0,0,0,0.08936343747042153,1,Standard,🟢 Loyal
+9940706056369,129.75,96.85,144.95,5189.89,1,1.87,2,1,0,1,0.109,0,79,291,37.3,1,0.803,0,1,1,26342,57,1,0,1,234.0,50,4,40,3,2,8,0,4,0,299.075,3.87,69.36,26450.8989,1.545,11.963,0,0,1,0.0830755952684723,0,Digital Power User,🟢 Loyal
+9940512345640,83.52,153.24,103.98,2255.05,2,0.74,0,2,0,3,0.002,0,9,184,25.0,1,0.571,1,1,0,46779,441,4,1,0,185.5,50,3,27,5,0,5,0,1,0,288.75,2.74,49.42,47242.5505,3.01,11.55,1,0,0,0.10847246897462837,1,Standard,🟢 Loyal
+9940777478042,146.92,305.37,145.48,6317.51,1,1.43,1,2,3,2,0.947,0,-2,314,26.7,1,0.47,1,0,0,37769,124,4,2,1,184.1,50,4,43,5,0,4,0,2,5,525.03,7.43,44.099999999999994,37956.1751,15.735,26.251499999999997,0,0,0,0.1244296185303931,1,Standard,🟢 Loyal
+9940556306111,113.39,380.64,118.03,3401.59,1,5.03,0,2,2,2,0.827,2,65,238,5.2,1,0.061,2,0,0,43248,224,6,1,0,79.8,50,5,30,2,1,0,0,0,0,553.045,6.03,14.42,43506.0159,12.135,27.65225,0,0,0,0.2584855475116633,1,Standard,🟢 Loyal
+9940515580406,63.19,153.69,91.58,1263.8,2,4.2,2,2,0,1,0.081,0,35,293,34.9,1,0.684,1,1,0,39533,145,4,0,0,206.4,50,3,20,4,1,6,0,1,8,262.67,10.2,61.58,39690.638,1.405,10.5068,0,0,1,0.22324954501820035,0,Digital Power User,🟢 Loyal
+9940777525937,56.32,193.16,42.13,1013.73,1,2.51,0,4,2,2,0.455,3,68,47,25.6,1,0.602,0,1,0,43299,160,7,2,3,148.0,20,4,18,3,1,6,1,1,8,270.545,3.51,50.64,43469.1373,10.275,13.527250000000002,0,0,1,0.11310859639999274,0,Digital Power User,🟢 Loyal
+9940519163776,144.28,304.07,150.75,5194.01,1,0.12,2,1,1,2,0.289,0,-2,225,36.0,1,0.869,1,1,1,28401,194,2,1,0,322.1,20,5,36,5,2,8,1,1,5,523.725,3.12,69.38,28646.9401,6.445,26.18625,0,0,1,0.08308247524927104,0,Digital Power User,🟢 Loyal
+9940503973925,62.17,424.78,88.99,1056.85,4,1.69,0,0,1,1,0.297,2,85,319,33.8,1,0.857,1,1,1,24136,125,3,2,2,214.0,50,2,17,2,0,8,0,1,8,531.4449999999999,9.69,66.94,24271.5685,5.484999999999999,26.572249999999993,0,0,1,0.2026117233825236,3,Standard,🟢 Loyal
+9940554773708,110.88,318.79,129.1,3548.3,3,0.2,1,1,1,1,0.895,2,53,28,19.0,1,0.368,2,0,0,38651,179,5,0,0,182.1,100,2,32,4,1,3,1,2,8,494.22,4.2,34.36,38865.483,8.475,24.711000000000002,0,0,0,0.12569723417408968,1,Standard,🟢 Loyal
+9940702705456,150.86,78.99,164.78,6034.31,1,2.83,0,3,1,2,0.992,1,-1,49,37.1,1,0.692,1,1,0,29855,272,5,1,0,261.4,200,4,40,2,1,6,0,0,8,312.24,5.83,63.94,30187.3431,9.96,15.612,0,0,1,0.1210460910920835,0,Digital Power User,🟢 Loyal
+9940506823645,143.71,1183.15,148.33,5892.29,0,1.08,1,1,1,1,0.422,0,-6,194,27.6,0,0.465,1,0,0,28635,138,7,0,0,199.0,20,5,41,5,1,4,0,4,5,1401.025,2.08,36.900000000000006,28831.9229,6.109999999999999,56.041000000000004,0,0,1,0.07643564936216557,4,Standard,🟢 Loyal
+9940554624424,115.97,1500.91,131.84,3827.13,1,2.17,2,1,2,2,0.815,2,34,281,20.8,1,0.391,1,0,0,42435,276,6,1,2,144.6,20,1,33,1,1,3,1,1,3,1682.8000000000002,5.17,36.620000000000005,42749.2713,12.075,84.14,0,0,1,0.08473259370454399,4,Standard,🟢 Loyal
+9940504081261,81.68,1294.04,86.54,2041.93,1,0.99,1,2,0,2,0.166,0,42,347,31.3,1,0.554,1,1,0,12189,214,10,0,0,81.7,100,1,25,1,0,5,0,1,3,1418.99,2.99,55.38,12423.4193,2.83,56.7596,0,0,1,0.1040089778551223,4,Standard,🟢 Loyal
+9940707268708,72.12,263.3,67.85,1442.42,0,0.58,1,1,2,2,0.77,1,11,216,22.3,0,0.502,0,0,0,3588,182,8,1,0,109.0,200,1,20,5,2,5,0,2,2,369.345,1.58,32.34,3784.4242,11.85,14.773800000000001,1,0,1,0.0708203559940698,3,Standard,🟢 Loyal
+9940554673409,22.04,97.72,32.81,264.44,2,0.34,2,2,2,1,0.051,1,12,330,17.3,1,0.342,1,0,0,37398,193,7,0,0,114.8,20,4,12,2,0,3,0,2,8,136.165,3.34,32.14,37593.6444,7.255,6.808249999999999,1,0,0,0.09005294765604366,1,Standard,🟢 Loyal
+9940515179310,88.11,1279.71,109.79,2555.32,2,0.37,0,0,2,2,0.342,2,-5,174,25.3,1,0.635,1,1,0,35153,140,3,0,0,163.5,20,3,29,3,0,6,0,0,3,1422.715,5.37,51.0,35318.5532,9.71,71.13575,0,0,1,0.11002574716038749,4,Standard,🟢 Loyal
+9940514960450,84.67,252.9,78.32,1608.79,1,3.27,2,1,2,4,0.569,2,12,294,31.8,0,0.596,2,1,0,29832,600,3,1,0,166.1,50,3,19,3,2,5,0,0,4,376.73,6.27,48.72,30448.0879,12.844999999999999,15.0692,1,0,1,0.11511175066663747,0,Digital Power User,🟢 Loyal
+9940553326843,113.22,239.84,155.93,3509.67,2,4.6,1,1,3,0,0.063,3,26,48,36.1,1,0.854,0,1,1,8316,0,3,2,1,280.7,100,2,31,4,0,8,1,3,1,431.025,6.6,69.18,8351.0967,9.315,17.241,0,0,1,0.13002025923492655,3,Standard,🟢 Loyal
+9940702132263,48.54,203.0,46.6,679.5,1,1.27,0,2,0,6,0.118,3,64,253,24.7,1,0.537,1,0,0,28370,1002,7,0,0,154.4,100,3,14,2,1,5,0,0,4,274.84,6.27,43.44,29378.795,6.59,10.993599999999999,0,0,0,0.1491349600822434,1,Standard,🟢 Loyal
+9940778445103,119.24,147.63,119.64,4054.14,1,1.04,2,2,0,0,0.319,2,58,109,14.1,1,0.226,2,0,0,24444,0,2,0,0,19.0,20,4,34,2,0,2,0,1,4,326.69,2.04,26.62,24484.5414,1.595,9.800699999999999,0,0,0,0.4143197761342646,1,Standard,🟡 Medium Risk
+9940551825513,77.03,261.73,105.2,1771.64,2,0.56,5,1,0,0,0.475,1,9,184,30.8,1,0.667,1,1,0,40457,0,5,1,0,235.4,100,3,23,5,0,6,1,0,0,391.36,3.56,57.14,40474.7164,2.375,11.7408,1,0,1,0.12065313245754346,0,Digital Power User,🟢 Loyal
+9940503923909,80.75,420.16,73.57,1372.82,1,2.26,1,3,1,3,0.215,3,23,318,25.5,1,0.59,2,1,0,12484,270,9,0,0,197.4,50,2,17,5,0,5,0,0,9,537.695,5.26,50.3,12767.7282,7.075,26.884750000000004,0,0,1,0.1414167698667553,3,Standard,🟢 Loyal
+9940777007408,51.12,390.82,74.8,1022.48,2,0.03,0,2,2,2,0.318,1,-2,160,17.3,0,0.352,0,0,0,1912,296,2,1,1,95.6,20,1,20,1,2,3,0,2,0,479.34,4.029999999999999,24.34,2218.2248,9.59,19.1736,0,0,0,0.14998952041213462,1,Standard,🟢 Loyal
