phone_number,verified,login_freq,services,security_alerts,backup_usage,digital_literacy_score,primary_document_types,biometric_enabled,sso_usage,data_sync_frequency,govt_services_usage,digital_signature_used,marketing_consent
+9940704628261,1,38.7,8,0,0,Medium,Government,1,1,Never,6,1,1
+9940779048642,1,27.1,5,0,1,Low,Personal,0,0,Weekly,8,0,0
+9940706056369,1,37.3,8,0,1,Low,Personal,1,1,Never,0,4,1
+9940512345640,1,25.0,5,0,0,Medium,Personal,1,0,Weekly,0,1,1
+9940777478042,1,26.7,4,0,1,Medium,Personal,0,0,Weekly,5,2,0
+9940556306111,1,5.2,0,0,1,High,Personal,0,0,Daily,0,0,1
+9940515580406,1,34.9,6,0,0,Medium,Business,1,0,Daily,8,1,1
+9940777525937,1,25.6,6,1,0,Low,Personal,1,0,Daily,8,1,0
+9940519163776,1,36.0,8,1,0,Medium,Personal,1,1,Never,5,1,1
+9940503973925,1,33.8,8,0,0,Medium,Personal,1,1,Weekly,8,1,1
+9940554773708,1,19.0,3,1,1,High,Government,0,0,Never,8,2,1
+9940702705456,1,37.1,6,0,1,Medium,Business,1,0,Weekly,8,0,1
+9940506823645,0,27.6,4,0,1,Medium,Personal,0,0,Daily,5,4,1
+9940554624424,1,20.8,3,1,1,Medium,Personal,0,0,Weekly,3,1,0
+9940504081261,1,31.3,5,0,0,Medium,Personal,1,0,Daily,3,1,0
+9940707268708,0,22.3,5,0,0,Low,Business,0,0,Daily,2,2,1
+9940554673409,1,17.3,3,0,0,Medium,Government,0,0,Weekly,8,2,1
+9940515179310,1,25.3,6,0,1,Medium,Business,1,0,Daily,3,0,0
+9940514960450,0,31.8,5,0,1,High,Business,1,0,Weekly,4,0,0
+9940553326843,1,36.1,8,1,0,Low,Business,1,1,Daily,1,3,1
+9940702132263,1,24.7,5,0,1,Medium,Government,0,0,Never,4,0,1
+9940778445103,1,14.1,2,0,0,High,Government,0,0,Never,4,1,0
+9940551825513,1,30.8,6,1,1,Medium,Government,1,0,Daily,0,0,0
+9940503923909,1,25.5,5,0,0,High,Personal,1,0,Weekly,9,0,0
+9940777007408,0,17.3,3,0,0,Low,Government,0,0,Never,0,2,0
+9940702181654,1,17.5,4,0,0,High,Banking,0,0,Weekly,9,0,1
+9940706899658,0,13.2,2,0,1,Medium,Personal,0,0,Daily,8,0,1
+9940507597593,0,19.5,4,0,0,High,Business,0,0,Never,8,1,1
+9940516966186,1,22.1,3,1,1,Medium,Personal,0,0,Weekly,6,1,1
+9940703745293,1,18.8,3,0,0,High,Banking,0,0,Never,5,3,1
+9940771177897,1,31.6,6,0,0,Medium,Government,1,0,Never,7,2,0
+9940558986169,1,39.0,8,0,1,Medium,Banking,1,1,Weekly,1,3,1
+9940773938921,1,17.7,2,0,1,High,Personal,0,0,Weekly,0,1,0
+9940778245054,1,38.3,8,0,0,Medium,Business,1,1,Weekly,2,0,1
+9940512780288,1,14.3,2,1,1,Medium,Personal,0,0,Daily,5,1,1
+9940772461694,0,32.1,6,1,0,Low,Business,1,0,Weekly,9,2,1
+9940518003362,0,5.7,0,2,0,Low,Banking,0,0,Weekly,3,0,1
+9940519457586,1,22.0,3,0,0,Low,Government,0,0,Never,4,2,1
+9940708745672,1,6.9,0,0,0,Medium,Business,0,0,Weekly,6,1,1
+9940707761214,1,32.2,7,0,0,Medium,Government,1,1,Never,9,0,1
+9940503220123,1,21.0,3,0,0,Medium,Personal,0,0,Daily,6,1,0
+9940779218893,0,25.1,5,0,0,Medium,Personal,0,0,Daily,3,0,1
+9940507010641,0,28.0,5,1,1,High,Personal,1,0,Never,4,1,0
+9940772549480,1,15.9,2,2,0,Low,Personal,0,0,Daily,7,3,1
+9940502164265,0,17.5,2,0,1,Medium,Personal,0,0,Weekly,5,1,1
+9940708840455,1,37.7,7,0,1,High,Personal,1,1,Weekly,4,2,0
+9940703476372,1,28.1,6,0,0,Medium,Banking,1,0,Daily,3,2,0
+9940707893030,0,32.2,7,0,1,Low,Personal,1,1,Weekly,1,1,1
+9940702247890,0,35.2,8,0,1,High,Business,1,1,Daily,1,1,1
+9940553524850,1,18.5,4,0,1,Low,Business,0,0,Daily,3,0,1
+9940703551686,1,20.6,4,2,0,Medium,Personal,0,0,Weekly,0,2,1
+9940513529937,1,41.1,9,0,1,High,Personal,1,1,Daily,6,1,1
+9940707072628,1,28.8,5,0,0,Medium,Business,0,0,Weekly,9,0,1
+9940559229499,1,38.0,7,0,1,Low,Personal,1,1,Weekly,9,2,1
+9940559192941,0,22.9,3,0,1,Medium,Personal,0,0,Daily,3,2,1
+9940557673952,1,23.1,4,0,1,Medium,Government,0,0,Daily,9,1,1
+9940552822701,1,15.8,3,0,1,High,Government,0,0,Daily,3,0,0
+9940509645219,1,34.8,5,2,0,High,Personal,1,0,Weekly,0,3,1
+9940505878710,0,20.7,3,0,1,High,Business,0,0,Daily,5,0,1
+9940515913702,1,37.6,6,1,1,High,Personal,1,0,Weekly,9,0,1
+9940507312519,1,17.6,3,0,0,Low,Government,0,0,Daily,0,2,1
+9940557921858,0,27.6,5,0,1,Medium,Personal,0,0,Daily,7,0,1
+9940709576301,0,29.8,5,0,1,High,Personal,1,0,Never,1,1,1
+9940706241415,1,18.9,2,0,0,Medium,Business,0,0,Daily,6,1,1
+9940556490543,0,29.5,6,2,1,Low,Banking,1,0,Daily,1,2,1
+9940777709750,0,9.4,1,0,1,High,Government,0,0,Weekly,1,3,0
+9940553295962,1,10.8,1,1,0,High,Personal,0,0,Daily,0,1,0
+9940503769415,0,31.4,7,1,0,High,Personal,1,1,Weekly,7,3,1
+9940706629302,0,25.6,5,0,1,High,Banking,1,0,Daily,6,0,0
+9940551577154,1,36.7,7,0,1,Medium,Personal,1,1,Weekly,0,1,1
+9940703884420,1,40.9,8,0,1,Medium,Personal,1,1,Weekly,5,1,1
+9940557461961,1,32.2,7,0,0,High,Personal,1,1,Never,9,0,1
+9940559785154,0,24.0,4,0,1,High,Banking,0,0,Never,4,2,1
+9940505675466,1,28.9,6,1,1,High,Business,1,0,Daily,6,1,1
+9940554597084,1,14.8,3,1,1,Medium,Business,0,0,Daily,7,0,1
+9940704963387,1,35.1,7,1,0,Medium,Banking,1,1,Weekly,7,5,1
+9940517168848,1,37.6,8,0,1,High,Government,1,1,Weekly,6,0,1
+9940705900274,1,22.4,3,0,1,Low,Government,0,0,Daily,4,1,1
+9940501209048,1,27.7,5,0,1,Medium,Government,0,0,Weekly,1,1,1
+9940515853159,1,40.8,8,0,1,Low,Business,1,1,Never,3,0,1
+9940554600552,1,30.4,6,0,1,Low,Banking,1,0,Weekly,6,0,1
+9940777307214,1,32.6,6,1,1,Medium,Business,1,0,Daily,1,0,1
+9940518875967,1,35.1,6,1,0,Low,Banking,1,0,Never,8,1,1
+9940519662035,1,23.3,5,0,1,High,Banking,0,0,Weekly,9,1,1
+9940556492046,1,33.3,7,1,0,Medium,Personal,1,1,Daily,0,0,1
+9940774263058,1,31.6,7,0,1,High,Personal,1,1,Weekly,1,2,1
+9940774995485,0,6.8,0,1,0,Medium,Personal,0,0,Daily,6,4,0
+9940502588154,0,16.0,3,0,0,Low,Government,0,0,Daily,5,2,1
+9940519423436,0,17.1,2,2,1,Medium,Business,0,0,Weekly,0,2,0
+9940778625803,1,18.2,3,1,0,Medium,Government,0,0,Weekly,5,0,0
+9940508685858,0,11.6,0,1,1,High,Banking,0,0,Daily,5,0,1
+9940773953110,1,16.5,3,0,1,Medium,Business,0,0,Daily,6,2,1
+9940513899940,0,23.4,3,1,0,Low,Banking,0,0,Never,0,0,1
+9940778709519,1,28.9,5,0,0,Medium,Personal,1,0,Daily,4,0,1
+9940515900935,1,22.0,5,0,1,High,Business,1,0,Daily,3,1,1
+9940557341904,1,13.3,2,2,1,Medium,Banking,0,0,Weekly,6,2,0
+9940705408417,1,31.8,8,0,1,High,Personal,1,1,Daily,2,1,1
+9940504984931,1,37.0,8,0,0,Medium,Banking,1,1,Daily,8,0,1
+9940556689821,1,45.1,8,0,0,Low,Business,1,1,Weekly,0,1,1
+9940558316828,0,39.0,8,0,0,Medium,Business,1,1,Daily,8,0,1
+9940704007001,0,22.6,4,1,1,High,Business,0,0,Daily,7,1,1
+9940778282305,0,26.4,4,1,0,Medium,Personal,0,0,Weekly,7,1,1
+9940703197844,0,3.3,1,2,1,Medium,Government,0,0,Weekly,3,0,0
+9940554625447,1,28.2,7,0,1,Medium,Banking,1,1,Daily,9,1,1
+9940559214045,0,24.9,4,0,1,Medium,Business,0,0,Weekly,1,0,1
+9940559590077,1,38.8,9,1,1,Medium,Personal,1,1,Weekly,9,0,1
+9940779314869,0,15.1,2,2,0,Medium,Business,0,0,Daily,2,0,0
+9940513844396,1,25.5,5,1,0,Medium,Business,0,0,Daily,3,0,1
+9940508589905,0,22.3,3,1,0,High,Government,0,0,Weekly,8,1,1
+9940519424784,0,30.7,5,1,1,High,Business,0,0,Daily,6,2,1
+9940509803838,1,41.3,8,0,0,High,Government,1,1,Daily,8,0,1
+9940501188130,0,15.3,2,0,1,Medium,Business,0,0,Weekly,9,0,1
+9940507704922,1,16.5,3,0,1,Medium,Personal,0,0,Never,8,1,0
+9940709970710,0,31.1,5,1,0,Low,Government,0,0,Daily,0,1,1
+9940707882004,1,31.7,6,1,0,High,Government,1,0,Weekly,0,4,0
+9940703098569,1,19.5,4,2,1,High,Banking,0,0,Daily,8,0,1
+9940557863310,1,33.8,5,1,1,High,Personal,1,0,Weekly,8,1,1
+9940701947197,0,19.7,3,1,1,Medium,Personal,0,0,Never,2,2,1
+9940505325468,0,37.1,7,1,0,Medium,Government,1,1,Daily,4,2,1
+9940776636047,1,12.5,1,0,1,Medium,Banking,0,0,Never,9,1,1
+9940555108069,1,5.7,0,0,1,Low,Business,0,0,Weekly,0,3,1
+9940777298501,1,11.8,3,0,0,Medium,Business,0,0,Daily,2,2,1
+9940503162036,0,23.1,5,1,1,High,Government,0,0,Daily,8,2,1
+9940556455984,0,17.8,2,0,0,Low,Business,0,0,Weekly,3,1,0
+9940706803372,1,34.2,7,1,0,Medium,Personal,1,1,Never,5,4,1
+9940556704164,1,40.1,7,0,0,Medium,Business,1,1,Never,4,0,0
+9940553603880,1,10.5,1,1,0,Low,Business,0,0,Weekly,1,1,1
+9940503748434,0,31.4,6,1,1,Medium,Business,1,0,Daily,1,2,0
+9940513320275,0,17.8,2,1,1,Medium,Banking,0,0,Daily,4,0,1
+9940515155993,1,30.6,6,0,1,Medium,Banking,1,0,Weekly,6,1,1
+9940516273651,1,10.9,1,0,0,Medium,Personal,0,0,Daily,0,1,1
+9940704262823,0,16.6,3,0,0,High,Banking,0,0,Never,5,2,0
+9940704689841,1,7.4,2,2,1,Low,Personal,0,0,Never,9,1,1
+9940703577702,1,27.8,4,0,0,High,Business,0,0,Never,7,1,1
+9940512969709,0,23.6,2,3,0,Low,Personal,0,0,Weekly,6,2,0
+9940776916943,1,29.5,5,0,1,Medium,Personal,1,0,Weekly,4,3,1
+9940508344503,0,30.8,6,0,0,High,Government,1,0,Weekly,8,3,1
+9940513616339,1,40.2,8,0,1,Low,Personal,1,1,Daily,3,1,1
+9940508745128,1,12.0,3,0,1,High,Business,0,0,Daily,8,2,1
+9940516138802,0,36.6,8,0,1,Medium,Banking,1,1,Daily,7,2,0
+9940772509295,1,35.1,7,0,1,High,Banking,1,1,Daily,2,2,0
+9940514293991,0,12.9,1,1,0,Medium,Personal,0,0,Daily,2,0,0
+9940771067563,1,18.3,4,0,0,Medium,Personal,0,0,Daily,4,0,1
+9940551352525,0,35.0,7,0,0,High,Personal,1,1,Never,5,0,1
+9940704025169,1,27.0,6,0,1,High,Government,1,0,Daily,4,1,1
+9940555090161,1,24.6,3,1,0,Low,Business,0,0,Daily,9,0,1
+9940518177596,1,10.8,1,1,0,Low,Government,0,0,Never,1,2,0
+9940702208721,0,29.6,5,2,0,High,Personal,0,0,Daily,5,1,1
+9940778552563,0,8.6,1,0,0,Medium,Business,0,0,Never,7,1,1
+9940513110704,1,35.3,7,0,0,Medium,Business,1,1,Daily,0,2,1
+9940702244961,1,29.2,6,2,1,Low,Banking,1,0,Weekly,3,3,1
+9940517299033,1,23.7,4,0,1,Medium,Banking,0,0,Daily,5,2,0
+9940707969022,0,23.8,5,2,0,High,Personal,0,0,Daily,4,1,1
+9940706444209,1,12.3,2,1,1,High,Personal,0,0,Daily,5,1,1
+9940552041337,1,35.2,6,1,0,Medium,Personal,1,0,Weekly,2,2,1
+9940702038102,1,21.2,3,1,0,High,Personal,0,0,Weekly,7,2,0
+9940514510562,1,32.4,7,0,1,Low,Personal,1,1,Daily,7,1,0
+9940505055400,1,27.9,4,0,0,High,Personal,0,0,Weekly,0,2,0
+9940509987484,0,28.6,5,0,1,High,Business,0,0,Daily,4,3,1
+9940553578275,1,40.3,8,0,0,Medium,Business,1,1,Daily,5,2,1
+9940772733317,0,3.2,1,2,0,High,Business,0,0,Daily,7,0,0
+9940509513110,1,11.4,1,2,0,Medium,Personal,0,0,Daily,4,2,1
+9940552385672,0,11.0,2,0,0,Medium,Personal,0,0,Daily,4,1,1
+9940701237622,1,8.7,1,1,1,High,Business,0,0,Never,1,0,0
+9940514805202,1,16.9,3,0,1,Low,Personal,0,0,Weekly,2,1,1
+9940704609735,1,0.7,0,2,1,High,Business,0,0,Never,1,0,1
+9940516577016,0,14.8,1,1,1,High,Business,0,0,Weekly,6,2,1
+9940778899611,0,34.4,7,0,1,Medium,Business,1,1,Weekly,6,1,1
+9940559396106,0,12.8,2,0,1,High,Personal,0,0,Never,4,1,1
+9940553606749,0,34.8,6,1,1,Low,Personal,1,0,Daily,9,0,1
+9940509827389,1,41.5,9,1,0,Medium,Personal,1,1,Weekly,9,0,1
+9940556693949,0,21.4,4,0,0,High,Personal,0,0,Weekly,2,1,0
+9940771626765,0,14.7,1,0,0,Medium,Government,0,0,Daily,8,1,1
+9940509446017,1,32.2,6,0,0,High,Business,1,0,Never,0,0,0
+9940702241977,1,12.8,2,0,0,Low,Personal,0,0,Never,8,2,1
+9940556297360,1,19.7,3,1,0,Medium,Personal,0,0,Weekly,2,0,1
+9940708116640,1,43.5,8,2,1,High,Personal,1,1,Never,1,0,1
+9940703244943,1,12.2,2,0,1,High,Personal,0,0,Daily,9,2,1
+9940553435689,0,26.8,4,0,0,Medium,Government,0,0,Daily,3,0,1
+9940515285593,1,17.8,3,1,1,High,Business,0,0,Daily,9,3,1
+9940708963640,1,27.6,4,0,1,Medium,Government,0,0,Weekly,2,0,1
+9940503012429,1,15.8,2,1,1,Medium,Business,0,0,Daily,6,2,1
+9940556971078,1,36.1,7,2,0,Medium,Government,1,1,Daily,4,0,0
+9940505073324,1,26.9,5,2,1,Medium,Government,0,0,Daily,4,0,1
+9940702006603,1,26.2,6,1,1,High,Banking,1,0,Daily,0,0,1
+9940707397890,1,11.4,1,1,1,Low,Banking,0,0,Never,2,0,1
+9940508492762,0,5.1,0,1,0,Medium,Personal,0,0,Weekly,3,2,1
+9940706180705,1,26.2,6,0,0,High,Banking,1,0,Weekly,3,0,1
+9940552587207,1,24.5,5,1,0,Medium,Banking,0,0,Never,0,0,1
+9940702401530,0,6.4,1,0,1,Low,Business,0,0,Never,4,0,1
+9940504811458,1,37.9,7,0,0,Medium,Government,1,1,Weekly,3,2,1
+9940505557768,1,33.4,6,1,1,Medium,Banking,1,0,Weekly,5,0,0
+9940555969663,0,19.2,2,1,1,Medium,Personal,0,0,Daily,1,1,0
+9940503192903,1,37.0,7,0,1,Low,Business,1,1,Daily,3,1,1
+9940515506894,0,32.5,7,0,1,Medium,Business,1,1,Daily,1,1,1
+9940703655710,0,21.3,3,0,1,Medium,Government,0,0,Weekly,6,0,1
+9940507175465,1,35.0,7,0,0,High,Personal,1,1,Daily,1,3,0
+9940708168266,0,20.9,5,1,0,Medium,Banking,0,0,Weekly,5,1,1
+9940506874179,1,33.6,6,1,1,Medium,Business,1,0,Daily,9,1,1
+9940501011226,1,38.1,8,1,0,High,Banking,1,1,Daily,6,2,1
+9940559928377,0,17.4,1,0,0,Medium,Business,0,0,Weekly,0,0,1
+9940701213908,1,15.7,3,0,0,Low,Business,0,0,Daily,2,2,1
+9940509994796,0,18.9,2,1,1,High,Business,0,0,Daily,2,2,1
+9940511285970,1,24.4,5,0,1,Low,Business,0,0,Weekly,5,0,1
+9940775648134,1,24.1,4,0,1,Medium,Personal,0,0,Daily,5,1,1
+9940771953738,0,28.5,6,2,0,High,Personal,1,0,Weekly,3,2,1
+9940551856791,0,30.3,4,1,0,High,Personal,0,0,Daily,5,1,1
+9940557150562,1,27.9,5,0,0,High,Personal,1,0,Weekly,8,1,1
+9940517550588,1,19.6,4,0,0,Medium,Government,0,0,Never,4,1,1
+9940702064129,1,34.6,7,0,1,Medium,Personal,1,1,Daily,6,1,1
+9940559789975,1,30.2,7,0,1,High,Banking,1,1,Weekly,2,0,0
+9940513884152,0,34.1,7,0,0,Medium,Personal,1,1,Weekly,6,2,1
+9940503864937,1,23.6,5,0,0,Medium,Banking,1,0,Daily,9,0,1
+9940503672795,0,8.8,1,0,1,High,Personal,0,0,Daily,0,1,1
+9940775150879,0,19.8,4,1,0,Medium,Government,0,0,Weekly,0,1,0
+9940552600507,1,40.0,7,0,1,Medium,Personal,1,1,Never,8,1,1
+9940554822991,1,23.9,3,0,0,High,Banking,0,0,Daily,7,0,1
+9940552889831,0,35.0,7,0,1,Medium,Business,1,1,Never,5,1,1
+9940701462772,0,19.9,3,0,1,High,Business,0,0,Weekly,1,2,1
+9940504318630,0,16.2,2,2,0,Low,Business,0,0,Daily,7,2,1
+9940507050379,1,31.1,6,1,1,Medium,Personal,1,0,Never,0,0,1
+9940517867807,1,38.2,8,0,0,High,Personal,1,1,Weekly,1,3,1
+9940554180038,0,27.0,4,0,0,Medium,Government,0,0,Daily,1,0,1
+9940703913715,0,17.2,2,0,0,Medium,Banking,0,0,Weekly,4,0,1
+9940558087174,1,28.2,6,0,0,Medium,Personal,1,0,Weekly,1,1,0
+9940557130694,1,25.8,4,2,0,Low,Government,0,0,Never,0,0,0
+9940778489079,0,34.9,7,1,0,Medium,Personal,1,1,Daily,3,1,0
+9940509154911,0,25.4,6,0,1,Low,Personal,1,0,Daily,3,0,1
+9940558391076,1,36.2,8,1,0,Medium,Business,1,1,Never,9,1,1
+9940559428369,1,30.0,6,0,0,Medium,Personal,1,0,Daily,7,0,0
+9940554749993,1,28.3,6,2,0,Medium,Personal,1,0,Daily,4,3,1
+9940774552046,1,42.0,7,0,0,Low,Business,1,1,Daily,5,1,1
+9940513893910,1,37.6,8,0,0,High,Government,1,1,Weekly,5,1,0
+9940773117003,0,31.0,6,0,0,High,Banking,1,0,Weekly,7,2,0
+9940517739386,0,17.4,2,0,1,High,Government,0,0,Daily,0,0,1
+9940557430060,1,28.7,6,0,1,Medium,Personal,1,0,Weekly,1,0,0
+9940558212504,0,13.1,1,1,0,High,Banking,0,0,Daily,5,2,1
+9940772506517,1,41.0,7,0,0,High,Banking,1,1,Daily,8,4,1
+9940555421316,0,31.2,6,0,0,High,Banking,1,0,Daily,2,0,1
+9940512997630,0,38.5,7,0,0,High,Personal,1,1,Daily,0,0,1
+9940509037278,0,4.9,0,1,0,Medium,Personal,0,0,Never,4,2,1
+9940513406700,0,15.3,4,0,1,Low,Business,0,0,Daily,0,0,1
+9940772295178,0,24.4,5,0,0,High,Personal,0,0,Daily,0,1,1
+9940506128777,0,39.8,8,1,0,Low,Personal,1,1,Weekly,3,0,1
+9940778911618,1,44.1,8,0,1,High,Banking,1,1,Weekly,5,2,1
+9940559241578,0,24.8,5,0,1,Medium,Business,1,0,Daily,0,1,0
+9940501864856,1,45.1,9,0,0,Medium,Business,1,1,Weekly,5,2,1
+9940513933041,1,41.8,8,1,0,High,Personal,1,1,Daily,0,0,1
+9940552381729,1,34.9,7,0,1,Medium,Personal,1,1,Daily,7,3,1
+9940513770791,1,34.1,7,0,1,Medium,Business,1,1,Weekly,8,2,1
+9940505804559,1,36.7,7,0,1,Low,Banking,1,1,Daily,5,6,1
+9940703525145,0,9.5,0,1,1,Medium,Personal,0,0,Daily,1,1,1
+9940701607666,1,37.1,8,0,0,High,Government,1,1,Weekly,9,1,0
+9940505590267,1,20.7,4,3,0,Medium,Business,0,0,Daily,0,0,1
+9940511475263,1,45.1,9,0,1,Medium,Banking,1,1,Weekly,0,0,1
+9940513040263,1,18.7,3,1,1,Medium,Banking,0,0,Weekly,7,2,1
+9940701004668,0,22.3,5,2,1,Medium,Personal,0,0,Daily,0,0,0
+9940701781394,1,35.7,6,2,1,High,Personal,1,0,Daily,4,2,1
+9940704926849,1,27.9,6,2,0,Medium,Banking,1,0,Weekly,5,0,1
+9940778656421,0,31.3,6,1,0,High,Personal,1,0,Weekly,3,1,1
+9940707971614,0,31.5,7,0,1,High,Personal,1,1,Daily,2,0,1
+9940511889475,1,15.9,2,0,0,Low,Personal,0,0,Daily,0,0,1
+9940501313545,0,15.3,1,0,0,Medium,Personal,0,0,Daily,3,0,1
+9940704042785,0,21.9,4,0,1,High,Government,0,0,Weekly,7,1,0
+9940776870317,1,29.0,6,0,0,Medium,Banking,1,0,Never,1,1,1
+9940777720592,1,10.0,1,1,1,Medium,Banking,0,0,Never,1,1,1
+9940518408145,0,20.0,4,0,0,High,Government,0,0,Weekly,8,1,0
+9940514079842,0,20.2,3,0,1,Medium,Personal,0,0,Weekly,3,0,1
+9940502512007,0,16.5,1,0,1,High,Personal,0,0,Weekly,9,3,1
+9940501237131,1,44.2,9,0,1,Medium,Government,1,1,Weekly,3,1,0
+9940552321773,0,28.9,6,0,0,Low,Government,1,0,Weekly,3,2,1
+9940551586455,0,32.2,5,1,0,Medium,Personal,1,0,Daily,4,1,1
+9940518747207,1,21.6,5,0,0,Low,Government,1,0,Weekly,0,2,1
+9940513415719,1,7.3,0,0,0,Medium,Banking,0,0,Daily,4,1,0
+9940778408120,0,7.5,0,0,1,Medium,Banking,0,0,Weekly,9,1,1
+9940555978429,1,40.6,7,0,0,Low,Personal,1,1,Daily,9,1,1
+9940775850475,1,35.1,7,1,0,Low,Business,1,1,Weekly,7,1,1
+9940775093139,1,38.3,8,0,1,High,Government,1,1,Daily,2,0,1
+9940518372798,1,29.2,6,1,0,High,Business,1,0,Never,4,1,1
+9940511391041,0,27.5,4,0,0,Low,Business,0,0,Never,8,2,1
+9940771834804,0,34.5,6,0,0,Medium,Banking,1,0,Weekly,9,0,0
+9940704810491,0,5.7,2,0,1,High,Personal,0,0,Weekly,3,2,1
+9940514550333,0,30.0,5,0,0,High,Banking,1,0,Never,3,2,1
+9940705910371,1,40.2,8,0,0,Medium,Personal,1,1,Daily,1,1,1
+9940557640177,0,28.3,5,0,0,Low,Business,1,0,Daily,9,1,1
+9940776287905,0,30.1,4,0,0,Medium,Business,0,0,Weekly,2,2,1
+9940513317067,0,25.7,4,0,0,Medium,Business,0,0,Daily,5,1,0
