phone_number,trips,spend,app_ratio,cash_ratio,ticket_class,loyalty,delay,cancellations,group_travel,route_type,seasonal_traveler,heavy_luggage,marketing_consent
+9940776916943,2,57.01,0.594,0.406,Standard,310,1,0,0,nakhchivan,0,0,1
+9940508344503,3,77.54,0.627,0.373,Business,261,1,0,0,domestic,0,0,0
+9940513616339,1,10.0,0.872,0.128,Business,82,1,0,0,international,0,0,0
+9940508745128,2,44.48,0.371,0.629,Standard,152,0,1,0,domestic,0,0,1
+9940516138802,2,100.71,0.826,0.174,Business,228,1,0,1,domestic,0,0,1
+9940772509295,1,43.22,0.75,0.25,Business,122,0,0,0,domestic,0,0,0
+9940514293991,3,64.61,0.141,0.859,Standard,216,0,0,0,nakhchivan,0,0,1
+9940771067563,2,42.5,0.418,0.582,Standard,348,2,0,0,international,0,0,1
+9940551352525,3,50.55,0.774,0.226,Business,429,0,0,0,domestic,1,0,1
+9940704025169,0,59.88,0.671,0.329,Business,0,1,0,0,nakhchivan,0,0,0
+9940555090161,3,20.77,0.399,0.601,Standard,264,2,0,0,domestic,1,0,1
+9940518177596,0,105.53,0.143,0.857,Standard,0,2,0,0,domestic,0,0,1
+9940702208721,1,82.83,0.501,0.499,Standard,186,1,0,0,international,1,0,0
+9940778552563,2,99.37,0.172,0.828,Standard,230,1,0,1,domestic,1,0,1
+9940513110704,1,55.5,0.73,0.27,Business,87,2,0,1,nakhchivan,0,1,1
+9940702244961,3,10.86,0.622,0.378,Business,174,1,0,0,domestic,0,0,1
+9940517299033,3,46.58,0.459,0.541,Standard,306,3,0,0,domestic,0,0,1
+9940707969022,2,74.7,0.54,0.46,Standard,156,0,0,0,international,0,0,1
+9940706444209,3,82.92,0.206,0.794,Standard,588,2,2,1,domestic,1,1,1
+9940552041337,1,58.05,0.696,0.304,Business,156,0,1,0,domestic,1,0,1
+9940702038102,3,23.62,0.363,0.637,Standard,351,1,0,0,domestic,0,1,0
+9940514510562,1,89.95,0.763,0.237,Business,132,2,1,0,domestic,0,0,0
+9940505055400,0,55.18,0.477,0.523,Standard,0,2,1,0,international,1,1,1
+9940509987484,0,48.76,0.539,0.461,Standard,0,1,0,0,domestic,1,1,0
+9940553578275,3,64.69,0.86,0.14,Business,201,1,0,1,international,0,0,1
+9940772733317,5,69.14,0.109,0.891,Standard,400,0,1,1,domestic,1,0,1
+9940509513110,1,57.0,0.138,0.862,Standard,134,1,0,0,domestic,0,0,1
+9940552385672,1,84.83,0.211,0.789,Standard,188,1,2,0,domestic,1,1,1
+9940701237622,3,84.31,0.109,0.891,Standard,216,0,0,0,domestic,1,1,1
+9940514805202,0,78.41,0.349,0.651,Standard,0,0,1,0,domestic,0,0,1
+9940704609735,3,41.76,0.065,0.935,Standard,504,1,0,0,international,1,0,1
+9940516577016,2,41.43,0.192,0.808,Standard,276,0,1,0,domestic,0,1,0
+9940778899611,1,53.61,0.722,0.278,Business,116,0,1,0,nakhchivan,0,1,0
+9940559396106,0,80.96,0.216,0.784,Standard,0,2,0,0,domestic,0,0,0
+9940553606749,1,26.34,0.672,0.328,Business,189,1,0,0,nakhchivan,0,0,1
+9940509827389,2,69.4,0.905,0.095,Business,138,1,1,1,domestic,1,0,0
+9940556693949,5,65.72,0.466,0.534,Standard,260,0,0,0,domestic,0,0,0
+9940771626765,0,75.25,0.125,0.875,Standard,0,1,0,0,domestic,0,0,1
+9940509446017,1,69.8,0.613,0.387,Business,121,0,0,0,domestic,1,0,0
+9940702241977,1,72.05,0.208,0.792,Standard,119,1,1,0,international,0,0,1
+9940556297360,2,46.55,0.386,0.614,Standard,148,3,0,0,nakhchivan,0,0,1
+9940708116640,0,10.44,0.875,0.125,Business,0,0,0,0,international,1,0,1
+9940703244943,3,45.67,0.202,0.798,Standard,378,1,0,0,international,1,0,1
+9940553435689,1,78.65,0.464,0.536,Standard,106,1,0,0,domestic,0,0,0
+9940515285593,2,99.69,0.394,0.606,Standard,352,1,0,0,domestic,0,1,1
+9940708963640,0,60.43,0.474,0.526,Standard,0,2,0,0,nakhchivan,0,0,1
+9940503012429,2,110.28,0.277,0.723,Standard,372,1,0,0,nakhchivan,0,0,1
+9940556971078,8,66.52,0.73,0.27,Business,848,0,0,0,nakhchivan,0,0,1
+9940505073324,3,49.66,0.55,0.45,Standard,168,2,0,0,international,0,1,0
+9940702006603,4,64.87,0.612,0.388,Business,296,3,1,0,domestic,0,0,1
+9940707397890,3,56.1,0.107,0.893,Standard,177,0,0,1,international,0,0,0
+9940508492762,3,119.28,0.022,0.978,Standard,327,2,1,0,nakhchivan,0,0,1
+9940706180705,0,55.36,0.662,0.338,Business,0,2,0,1,international,1,0,0
+9940552587207,1,55.15,0.532,0.468,Standard,180,2,0,0,nakhchivan,1,1,1
+9940702401530,1,35.12,0.117,0.883,Standard,119,3,0,1,nakhchivan,1,0,0
+9940504811458,4,91.29,0.706,0.294,Business,488,0,0,0,domestic,1,0,1
+9940505557768,1,20.46,0.687,0.313,Business,56,2,1,0,nakhchivan,1,0,1
+9940555969663,1,17.97,0.292,0.708,Standard,161,0,0,0,domestic,1,1,0
+9940503192903,2,15.25,0.734,0.266,Business,240,1,1,1,domestic,1,0,1
+9940515506894,6,19.69,0.778,0.222,Business,582,0,0,1,nakhchivan,0,0,0
+9940703655710,1,69.93,0.352,0.648,Standard,65,0,0,0,international,0,0,1
+9940507175465,1,61.65,0.761,0.239,Business,99,2,0,0,domestic,0,0,1
+9940708168266,2,18.13,0.502,0.498,Standard,324,1,0,0,nakhchivan,1,0,0
+9940506874179,4,58.71,0.684,0.316,Business,232,0,0,1,domestic,1,0,1
+9940501011226,0,67.1,0.83,0.17,Business,0,0,0,0,international,0,0,1
+9940559928377,0,58.99,0.195,0.805,Standard,0,0,0,0,domestic,1,0,1
+9940701213908,3,10.0,0.372,0.628,Standard,348,0,1,0,nakhchivan,1,0,0
+9940509994796,3,85.89,0.238,0.762,Standard,339,0,0,0,domestic,1,0,0
+9940511285970,3,78.32,0.513,0.487,Standard,429,0,0,0,nakhchivan,0,0,1
+9940775648134,3,58.71,0.43,0.57,Standard,240,0,0,0,domestic,1,1,0
+9940771953738,3,98.21,0.662,0.338,Business,315,2,0,1,domestic,0,0,1
+9940551856791,2,92.98,0.409,0.591,Standard,370,2,0,1,domestic,0,0,0
+9940557150562,6,14.52,0.556,0.444,Standard,954,1,0,1,international,1,0,1
+9940517550588,0,87.64,0.432,0.568,Standard,0,1,0,0,domestic,0,0,1
+9940702064129,4,36.47,0.761,0.239,Business,532,0,0,0,nakhchivan,1,0,0
+9940559789975,2,22.52,0.741,0.259,Business,220,0,0,0,international,1,0,0
+9940513884152,2,69.96,0.704,0.296,Business,166,2,0,0,domestic,0,0,1
+9940503864937,3,34.86,0.553,0.447,Standard,411,2,0,1,domestic,1,1,1
+9940503672795,5,89.81,0.11,0.89,Standard,850,1,0,1,domestic,1,0,1
+9940775150879,4,68.78,0.438,0.562,Standard,712,2,0,0,nakhchivan,0,1,1
+9940552600507,1,101.69,0.779,0.221,Business,94,0,0,1,domestic,0,0,1
+9940554822991,6,53.6,0.352,0.648,Standard,600,3,0,0,domestic,0,0,1
+9940552889831,2,90.66,0.751,0.249,Business,136,1,0,0,international,1,1,0
+9940701462772,1,47.23,0.363,0.637,Standard,97,0,0,0,nakhchivan,0,0,0
+9940504318630,4,94.89,0.281,0.719,Standard,452,2,0,0,nakhchivan,0,0,0
+9940507050379,0,72.77,0.674,0.326,Business,0,0,0,0,nakhchivan,1,0,1
+9940517867807,2,52.95,0.826,0.174,Business,234,2,0,0,nakhchivan,0,0,1
+9940554180038,0,113.7,0.466,0.534,Standard,0,0,0,0,domestic,0,0,0
+9940703913715,1,31.86,0.287,0.713,Standard,187,0,1,0,international,0,1,1
+9940558087174,3,55.59,0.614,0.386,Business,510,1,0,1,international,1,0,1
+9940557130694,2,78.48,0.433,0.567,Standard,308,0,0,0,international,0,0,1
+9940778489079,1,78.63,0.786,0.214,Business,116,0,0,0,domestic,0,1,1
+9940509154911,0,26.74,0.605,0.395,Business,0,2,0,0,domestic,1,0,1
+9940558391076,3,19.15,0.851,0.149,Business,180,1,0,0,domestic,0,0,1
+9940559428369,2,44.58,0.613,0.387,Business,364,1,0,1,domestic,0,0,0
+9940554749993,0,63.47,0.609,0.391,Business,0,2,0,0,domestic,1,0,1
+9940774552046,0,43.25,0.763,0.237,Business,0,1,1,1,nakhchivan,0,0,1
+9940513893910,0,63.1,0.811,0.189,Business,0,1,0,0,international,0,0,0
+9940773117003,2,101.36,0.669,0.331,Business,388,0,0,1,domestic,0,0,0
+9940517739386,2,69.87,0.21,0.79,Standard,100,1,0,0,domestic,0,1,0
+9940557430060,3,57.88,0.623,0.377,Business,447,0,1,0,nakhchivan,0,0,1
+9940558212504,1,78.94,0.184,0.816,Standard,129,0,0,0,domestic,1,1,1
+9940772506517,3,44.38,0.767,0.233,Business,594,0,0,0,nakhchivan,0,0,1
+9940555421316,1,40.79,0.614,0.386,Business,87,0,0,0,international,1,1,0
+9940512997630,4,44.18,0.744,0.256,Business,528,0,0,0,nakhchivan,0,0,1
+9940509037278,2,61.67,0.029,0.971,Standard,116,1,0,0,domestic,0,1,1
+9940513406700,3,101.9,0.42,0.58,Standard,294,0,0,1,domestic,0,0,1
+9940772295178,2,88.18,0.504,0.496,Standard,344,0,0,0,domestic,1,0,0
+9940506128777,3,90.98,0.84,0.16,Business,471,2,0,0,domestic,1,0,1
+9940778911618,3,21.76,0.806,0.194,Business,489,2,0,0,domestic,0,0,1
+9940559241578,1,41.66,0.578,0.422,Standard,108,0,0,1,domestic,0,0,1
+9940501864856,3,96.43,0.908,0.092,Business,159,1,0,0,international,0,0,1
+9940513933041,3,62.02,0.874,0.126,Business,165,0,0,1,domestic,0,1,1
+9940552381729,2,32.22,0.721,0.279,Business,142,2,0,1,international,0,0,1
+9940513770791,2,91.37,0.731,0.269,Business,218,1,1,0,international,1,0,1
+9940505804559,3,11.65,0.746,0.254,Business,486,0,0,1,international,0,1,0
+9940703525145,2,74.83,0.087,0.913,Standard,232,2,0,1,domestic,1,1,0
+9940701607666,2,23.08,0.809,0.191,Business,226,1,0,0,domestic,0,1,0
+9940505590267,1,83.5,0.428,0.572,Standard,72,1,2,0,nakhchivan,1,1,1
+9940511475263,3,57.2,0.944,0.056,Business,234,0,0,0,domestic,0,0,0
+9940513040263,3,84.25,0.39,0.61,Standard,423,0,0,0,domestic,0,0,1
+9940701004668,2,39.42,0.503,0.497,Standard,326,1,0,1,domestic,1,0,1
+9940701781394,0,10.19,0.634,0.366,Business,0,0,0,0,international,1,0,0
+9940704926849,2,43.97,0.651,0.349,Business,102,2,0,0,domestic,0,0,1
+9940778656421,1,20.97,0.613,0.387,Business,94,1,0,0,nakhchivan,1,0,1
+9940707971614,3,55.81,0.717,0.283,Business,189,2,0,0,domestic,0,1,1
+9940511889475,0,48.44,0.275,0.725,Standard,0,2,0,0,international,0,0,1
+9940501313545,2,98.54,0.194,0.806,Standard,204,2,0,0,nakhchivan,1,0,1
