phone_number,monthly_spend,data_usage_gb,speed_mbps,support_calls,complaints,downtime_hours,payment_delay_days,device_count,plan_upgrade_count,contract_type,region,tenure_months,churn_status,cltv,payment_status,service_type,average_monthly_usage_gb,peak_usage_time,installation_address_airport_km,customer_satisfaction_score,smart_home_devices,azcloud_subscriber,marketing_consent
+9940501816258,34.79,56.7,50,1,2,1.98,3,1,1,0,3,11,0,382.72,paid,5G,31.2,night,1.0,4,0,0,1
+9940557102845,92.3,59.6,50,0,1,2.13,0,4,2,1,3,27,0,2492.19,overdue,5G,89.6,evening,11.4,1,0,0,1
+9940779875650,96.11,106.2,100,2,2,1.75,1,5,2,1,4,21,0,2018.38,paid,Cable,90.6,evening,9.0,1,0,0,1
+9940508614067,70.18,246.4,20,0,1,1.91,0,3,1,0,1,24,1,1684.29,overdue,Cable,259.8,morning,2.6,2,0,1,1
+9940776252955,109.52,46.8,50,4,1,3.2,1,3,0,0,3,27,0,2957.05,paid,Cable,76.8,evening,11.5,4,0,0,1
+9940771362283,55.67,151.1,20,0,1,0.67,1,2,1,0,4,16,0,890.74,paid,5G,121.1,afternoon,5.1,5,0,0,1
+9940519891738,29.34,134.6,50,1,1,5.02,2,4,1,0,2,12,0,352.03,overdue,5G,144.7,evening,1.3,5,1,1,1
+9940705046693,93.68,11.6,200,2,3,5.72,3,5,0,1,1,26,0,2435.6,unpaid,Cable,5.3,evening,80.0,3,0,0,1
+9940503606968,77.2,138.5,100,1,0,3.59,2,5,1,1,4,20,0,1544.0,paid,ADSL,147.4,morning,10.9,4,1,0,1
+9940709032388,126.93,144.1,200,1,4,5.55,1,5,1,0,4,34,0,4315.77,paid,GPON,131.7,evening,1.7,2,0,0,1
+9940707717624,22.9,98.0,20,1,3,1.8,1,1,2,0,3,16,0,366.42,paid,GPON,68.0,night,3.2,4,0,0,0
+9940517746566,87.58,227.8,200,5,1,3.02,0,3,1,1,3,25,0,2189.55,overdue,Cable,212.7,evening,3.5,5,1,1,1
+9940503499777,93.07,113.9,200,4,0,1.35,1,3,2,0,2,29,0,2699.11,paid,GPON,120.8,evening,5.3,4,1,0,0
+9940779926268,83.9,132.3,100,1,1,0.95,0,1,0,0,4,23,0,1929.68,paid,5G,159.3,afternoon,43.0,1,2,0,1
+9940555075807,46.04,287.4,200,2,0,7.57,1,5,0,1,4,15,1,690.67,overdue,ADSL,295.6,evening,1.0,2,2,1,1
+9940775782723,87.9,233.5,20,0,4,0.76,2,1,1,1,2,23,0,2021.64,paid,5G,263.0,afternoon,7.8,5,0,1,1
+9940707758616,68.03,146.1,100,1,3,1.88,0,3,0,1,2,20,0,1360.68,paid,5G,136.3,night,13.4,4,0,0,0
+9940706939960,53.97,269.6,200,1,3,0.17,0,1,0,1,4,15,0,809.56,paid,Cable,258.2,evening,4.4,5,1,1,1
+9940702550583,71.3,83.8,20,1,2,1.98,1,4,0,1,1,24,0,1711.12,paid,ADSL,90.7,evening,3.6,1,2,0,1
+9940503722322,41.44,215.6,50,4,0,0.66,2,1,0,1,3,13,0,538.72,paid,GPON,208.1,afternoon,2.8,2,0,0,1
+9940514250670,128.1,145.1,50,0,0,2.08,1,3,0,0,1,39,0,4995.89,paid,5G,167.5,evening,4.3,3,0,0,0
+9940559527819,57.08,228.6,20,0,1,0.25,0,3,2,0,4,18,0,1027.5,paid,Cable,200.5,afternoon,1.8,4,0,1,1
+9940557430552,81.49,38.6,20,1,1,0.36,1,1,0,0,1,22,0,1792.76,overdue,ADSL,55.8,night,1.0,1,1,0,1
+9940504297019,64.06,237.0,50,3,0,2.5,1,5,0,1,1,12,0,768.68,paid,GPON,261.1,evening,4.8,4,1,1,1
+9940557612500,35.33,256.6,20,2,3,0.11,1,1,2,1,2,9,0,317.93,paid,5G,263.9,evening,7.3,4,2,1,1
+9940507646595,128.8,10.0,100,1,0,0.21,2,4,0,0,4,29,0,3735.07,paid,GPON,28.3,afternoon,12.8,3,1,0,1
+9940704547994,66.95,150.2,20,3,0,0.73,2,1,0,1,1,9,0,602.59,paid,Cable,137.3,evening,20.7,5,1,0,1
+9940704628261,85.91,261.5,20,0,0,4.87,0,4,1,1,3,23,0,1975.87,paid,GPON,244.8,evening,1.0,4,1,1,1
+9940779048642,54.68,164.2,100,0,0,0.11,1,2,1,1,2,17,0,929.58,overdue,Cable,171.2,night,13.9,4,0,0,1
+9940706056369,129.75,234.0,50,1,1,1.87,2,4,0,1,4,40,0,5189.89,paid,GPON,219.6,evening,30.3,3,2,1,1
+9940512345640,83.52,185.5,50,2,2,0.74,0,3,2,1,2,27,0,2255.05,paid,5G,191.5,afternoon,7.9,5,0,0,0
+9940777478042,146.92,184.1,50,1,2,1.43,1,4,1,0,2,43,0,6317.51,paid,ADSL,190.1,night,3.4,5,0,0,0
+9940556306111,113.39,79.8,50,1,2,5.03,0,5,0,0,1,30,1,3401.59,paid,ADSL,78.4,afternoon,6.8,2,1,0,1
+9940515580406,63.19,206.4,50,2,2,4.2,2,3,0,0,2,20,0,1263.8,paid,5G,212.0,evening,64.9,4,1,1,1
+9940777525937,56.32,148.0,20,1,4,2.51,0,4,0,1,1,18,0,1013.73,paid,GPON,160.7,night,8.0,3,1,0,1
+9940519163776,144.28,322.1,20,1,1,0.12,2,5,0,1,4,36,0,5194.01,paid,Cable,320.1,evening,4.9,5,2,1,1
+9940503973925,62.17,214.0,50,4,0,1.69,0,2,2,0,2,17,0,1056.85,unpaid,Cable,204.5,night,2.1,2,0,1,0
+9940554773708,110.88,182.1,100,3,1,0.2,1,2,0,0,2,32,0,3548.3,paid,Cable,198.5,night,11.9,4,1,0,1
+9940702705456,150.86,261.4,200,1,3,2.83,0,4,0,0,1,40,0,6034.31,paid,Cable,266.8,morning,6.6,2,1,1,0
+9940506823645,143.71,199.0,20,0,1,1.08,1,5,1,1,3,41,0,5892.29,paid,5G,208.0,evening,28.5,5,1,0,1
+9940554624424,115.97,144.6,20,1,1,2.17,2,1,0,1,3,33,0,3827.13,paid,ADSL,156.3,evening,20.6,1,1,0,1
+9940504081261,81.68,81.7,100,1,2,0.99,1,1,1,0,2,25,0,2041.93,paid,GPON,84.7,evening,41.3,1,0,0,1
+9940707268708,72.12,109.0,200,0,1,0.58,1,1,1,1,2,20,0,1442.42,paid,Cable,102.1,night,1.0,5,2,0,0
+9940554673409,22.04,114.8,20,2,2,0.34,2,4,0,1,4,12,0,264.44,paid,Cable,102.4,night,77.1,2,0,0,1
+9940515179310,88.11,163.5,20,2,0,0.37,0,3,0,0,1,29,0,2555.32,paid,5G,161.7,evening,7.3,3,0,0,1
+9940514960450,84.67,166.1,50,1,1,3.27,2,3,1,0,3,19,0,1608.79,paid,Cable,175.7,afternoon,46.3,3,2,0,1
+9940553326843,113.22,280.7,100,2,1,4.6,1,2,1,0,4,31,0,3509.67,paid,GPON,291.3,afternoon,3.2,4,0,1,0
+9940702132263,48.54,154.4,100,1,2,1.27,0,3,0,1,2,14,0,679.5,unpaid,ADSL,157.2,afternoon,3.8,2,1,0,1
+9940778445103,119.24,19.0,20,1,2,1.04,2,4,1,0,1,34,1,4054.14,paid,Cable,26.0,evening,2.9,2,0,0,1
+9940551825513,77.03,235.4,100,2,1,0.56,5,3,2,0,4,23,0,1771.64,paid,ADSL,213.3,evening,7.3,5,0,1,1
+9940503923909,80.75,197.4,50,1,3,2.26,1,2,1,0,4,17,0,1372.82,overdue,5G,188.2,morning,17.4,5,0,0,1
+9940777007408,51.12,95.6,20,2,2,0.03,0,1,2,1,1,20,0,1022.48,paid,Cable,109.0,evening,16.1,1,2,0,0
+9940702181654,74.52,168.7,200,1,1,4.24,0,2,1,0,2,28,1,2086.52,paid,ADSL,152.0,afternoon,15.9,3,2,0,1
+9940706899658,45.4,71.5,100,2,0,3.92,0,4,0,1,1,13,1,590.16,paid,5G,74.3,night,5.5,3,1,0,1
+9940507597593,110.44,180.1,50,0,2,0.68,2,1,0,0,4,28,0,3092.25,overdue,Cable,181.1,night,22.7,3,2,0,1
+9940516966186,123.08,116.4,200,1,0,1.16,2,2,0,0,4,33,0,4061.48,paid,ADSL,114.2,morning,9.8,3,0,0,1
+9940703745293,33.91,170.5,200,1,1,0.23,1,2,0,1,4,11,0,372.96,paid,ADSL,184.1,afternoon,7.0,1,1,0,1
+9940771177897,77.93,127.3,20,0,2,0.05,0,3,3,1,2,15,0,1168.95,unpaid,Cable,131.8,night,8.6,5,2,1,1
+9940558986169,58.64,276.4,200,1,1,0.17,2,5,3,1,3,16,1,938.25,overdue,GPON,252.4,afternoon,1.0,2,0,1,1
+9940773938921,111.7,52.1,100,2,1,0.44,0,5,1,1,1,36,0,4021.36,unpaid,Cable,62.4,night,24.3,2,0,0,1
+9940778245054,103.22,208.8,50,2,0,0.02,3,2,1,0,1,32,1,3302.95,paid,ADSL,198.7,morning,32.5,5,2,1,1
+9940512780288,132.11,117.5,50,0,0,4.45,2,3,0,0,3,38,1,5020.21,paid,5G,90.2,evening,17.7,5,3,0,1
+9940772461694,162.49,238.6,20,1,1,0.37,1,5,3,0,4,50,0,8124.33,paid,Cable,253.4,evening,3.4,5,1,1,0
+9940518003362,110.55,10.0,200,0,2,0.4,1,5,2,1,2,30,0,3316.6,paid,5G,-13.7,evening,2.0,2,0,0,1
+9940519457586,127.66,147.0,50,0,1,0.45,0,4,1,0,2,26,0,3319.04,paid,Cable,139.9,evening,24.0,4,1,0,1
+9940708745672,109.8,41.3,50,1,1,0.16,3,1,0,0,4,38,0,4172.43,paid,GPON,47.1,night,1.0,1,0,0,1
+9940707761214,66.32,205.9,20,0,1,1.8,1,2,3,1,2,15,0,994.81,paid,Cable,204.4,evening,10.0,3,0,1,1
+9940503220123,138.46,79.1,200,2,4,1.37,1,2,0,1,4,42,0,5815.21,paid,Cable,66.6,evening,43.0,2,1,0,1
+9940779218893,117.06,87.3,50,1,1,0.69,1,4,2,1,3,34,0,3980.18,unpaid,GPON,67.5,evening,29.2,2,1,0,1
+9940507010641,80.89,157.6,100,1,0,0.96,1,2,0,1,4,24,1,1941.4,paid,5G,142.4,evening,3.6,5,1,0,1
+9940772549480,102.6,55.0,50,2,2,0.04,2,1,1,1,2,21,0,2154.6,paid,GPON,33.4,morning,3.5,5,1,0,1
+9940502164265,99.75,101.0,100,0,3,3.51,1,5,1,1,4,33,0,3291.85,paid,ADSL,98.4,evening,11.8,1,3,0,1
+9940708840455,126.41,238.8,100,2,1,0.05,1,1,1,1,4,35,0,4424.35,paid,GPON,227.9,evening,4.0,2,2,1,0
+9940703476372,164.73,152.8,50,5,0,6.13,0,4,0,0,4,46,0,7577.68,paid,5G,125.2,afternoon,1.0,1,1,1,0
+9940707893030,162.17,229.9,50,1,2,0.3,1,5,2,1,4,50,0,8108.62,unpaid,ADSL,224.1,evening,4.5,5,0,1,1
+9940702247890,31.06,232.5,100,0,0,0.27,2,5,2,0,2,10,0,310.64,unpaid,Cable,219.6,night,1.0,2,0,1,1
+9940553524850,99.47,86.2,20,1,0,0.08,0,3,1,0,4,30,0,2983.98,paid,5G,91.5,night,5.3,3,0,0,1
+9940703551686,59.61,66.2,20,2,1,0.87,0,3,1,1,3,19,0,1132.68,paid,ADSL,73.5,evening,19.4,3,0,0,1
+9940513529937,54.48,304.4,20,2,2,0.16,2,4,2,1,1,12,0,653.77,paid,ADSL,331.2,evening,5.7,1,1,1,0
+9940707072628,13.67,179.4,50,1,2,1.11,0,2,1,0,4,10,1,136.66,paid,Cable,192.3,afternoon,29.2,2,0,0,0
+9940559229499,24.01,249.1,20,1,3,4.18,2,3,0,0,3,9,0,216.07,paid,5G,227.3,morning,10.5,1,2,1,1
+9940559192941,32.78,72.3,50,2,1,0.47,4,2,4,1,3,16,0,524.49,paid,ADSL,42.3,evening,12.6,1,2,0,1
+9940557673952,17.29,140.6,100,0,2,1.92,0,2,3,1,1,5,0,86.47,paid,GPON,110.6,evening,1.0,5,1,0,1
+9940552822701,37.28,35.7,100,1,1,4.01,1,3,0,1,4,20,0,745.61,paid,ADSL,25.7,night,1.0,2,1,0,1
+9940509645219,118.8,138.3,200,3,1,0.97,0,3,1,1,4,34,0,4039.33,paid,Cable,108.3,evening,1.0,3,0,0,1
+9940505878710,47.59,92.5,200,1,2,3.34,1,1,1,1,4,16,0,761.48,overdue,5G,80.2,evening,29.7,4,0,0,0
+9940515913702,10.42,202.4,50,2,1,0.34,1,1,1,1,2,16,0,166.66,paid,5G,203.1,morning,32.6,5,0,0,1
+9940507312519,99.46,43.7,200,1,1,2.95,2,4,3,0,1,27,0,2685.41,paid,Cable,32.4,afternoon,50.4,3,0,0,1
+9940557921858,123.21,112.9,200,2,1,1.21,1,3,1,0,3,33,0,4066.0,paid,ADSL,118.5,evening,78.2,5,2,0,1
+9940709576301,122.12,157.7,20,1,2,1.04,3,5,1,1,3,34,0,4151.98,paid,5G,145.5,evening,11.8,3,1,0,1
+9940706241415,97.56,122.0,20,0,0,1.82,0,1,0,1,2,35,0,3414.43,paid,Cable,106.7,night,4.4,1,1,0,1
+9940556490543,166.03,161.6,200,1,3,0.92,0,2,1,0,2,49,0,8135.55,paid,GPON,191.6,afternoon,23.5,5,1,0,1
+9940777709750,32.64,60.9,200,2,1,0.28,1,2,2,1,3,17,0,554.82,overdue,Cable,60.2,evening,7.4,2,1,0,1
+9940553295962,73.49,61.6,200,1,1,0.46,0,4,1,0,4,19,0,1396.26,paid,5G,63.8,evening,4.2,4,1,0,0
+9940503769415,112.24,203.8,50,3,0,0.38,2,3,1,1,3,33,1,3703.81,paid,5G,220.7,evening,1.0,5,4,1,0
+9940706629302,114.01,185.7,200,1,0,0.1,1,3,1,1,4,29,0,3306.27,paid,GPON,203.2,morning,2.9,5,0,0,1
+9940551577154,16.6,182.3,200,1,0,2.93,1,5,0,0,3,12,0,199.17,paid,Cable,174.9,morning,9.8,4,2,1,1
+9940703884420,149.89,235.5,100,2,0,2.5,1,1,1,1,3,34,0,5096.13,overdue,5G,256.4,evening,6.0,2,0,1,0
+9940557461961,65.63,285.0,100,3,1,2.21,1,5,1,0,2,22,1,1443.97,paid,5G,276.0,night,26.6,4,0,1,1
+9940559785154,115.91,198.3,50,2,3,0.56,0,2,0,0,1,35,0,4056.74,paid,5G,218.7,evening,18.5,3,0,0,1
+9940505675466,92.98,240.2,100,1,1,1.67,4,1,2,0,2,29,0,2696.42,paid,5G,215.6,evening,4.0,4,1,1,1
+9940554597084,105.97,144.5,200,3,2,1.77,2,3,1,1,2,29,1,3073.11,paid,5G,138.4,evening,14.0,2,0,0,1
+9940704963387,34.19,146.4,200,1,2,0.95,0,2,1,1,3,19,1,649.53,paid,ADSL,150.9,afternoon,10.8,4,0,1,1
+9940517168848,74.43,210.2,100,1,0,0.63,1,4,0,0,1,23,0,1711.96,paid,Cable,217.4,morning,14.5,3,0,1,0
+9940705900274,108.29,99.9,20,1,4,4.22,0,4,1,0,3,29,0,3140.44,paid,GPON,83.0,night,4.1,5,0,0,0
+9940501209048,51.34,252.9,100,4,0,0.15,1,3,0,0,3,13,0,667.36,paid,GPON,222.9,evening,2.6,1,1,0,0
+9940515853159,80.69,239.0,50,2,3,2.53,0,4,1,1,3,27,0,2178.6,paid,ADSL,248.2,night,17.4,4,1,1,0
+9940554600552,112.11,210.2,20,4,1,2.63,1,1,4,0,4,30,1,3363.26,paid,5G,206.1,evening,9.4,3,1,0,1
+9940777307214,31.66,199.8,20,0,1,0.24,1,2,1,1,1,9,0,284.94,paid,GPON,191.9,afternoon,4.5,3,2,0,1
+9940518875967,53.28,200.8,20,2,0,0.92,2,1,2,0,2,13,0,692.58,paid,ADSL,230.8,evening,16.8,3,1,0,0
+9940519662035,92.17,159.2,50,0,0,1.09,0,4,1,1,2,33,0,3041.56,paid,5G,153.4,evening,21.6,1,0,0,0
+9940556492046,102.21,167.9,50,0,2,0.15,2,4,0,0,3,25,0,2555.23,paid,GPON,157.5,evening,22.1,3,1,1,1
+9940774263058,26.44,112.9,50,3,1,7.66,2,4,1,0,3,9,1,237.99,paid,GPON,82.9,morning,18.1,3,1,1,1
+9940774995485,81.04,78.6,100,1,5,1.27,0,2,1,1,4,24,0,1945.03,paid,GPON,56.9,morning,4.4,2,2,0,1
+9940502588154,21.78,85.6,100,3,1,1.61,1,5,4,1,3,17,0,370.25,paid,Cable,103.1,evening,3.1,5,0,0,0
+9940519423436,96.33,10.0,50,0,3,1.19,2,4,2,1,4,25,0,2408.31,paid,Cable,-4.5,evening,41.0,2,0,0,1
+9940778625803,10.29,132.8,50,0,1,0.03,0,3,0,1,1,7,0,72.05,paid,5G,145.3,morning,3.2,3,0,0,0
+9940508685858,68.14,35.8,200,1,1,0.53,0,2,0,0,1,18,0,1226.57,paid,5G,10.0,evening,12.2,2,0,0,1
+9940773953110,62.76,123.8,50,1,0,1.71,2,5,0,1,3,20,0,1255.19,paid,Cable,106.4,evening,2.8,3,0,0,0
+9940513899940,37.96,163.6,20,1,1,0.79,1,4,0,0,1,15,0,569.44,unpaid,5G,145.7,evening,18.7,3,0,0,1
+9940778709519,64.5,131.5,200,0,0,0.37,3,5,1,0,2,29,0,1870.6,paid,5G,141.0,afternoon,56.8,4,2,0,0
+9940515900935,68.79,141.7,20,1,1,0.22,2,2,5,0,1,18,0,1238.21,unpaid,Cable,137.5,night,7.0,2,0,0,1
+9940557341904,14.07,62.5,200,2,1,0.31,1,3,1,1,1,13,0,182.93,paid,GPON,40.3,morning,1.0,2,1,0,0
+9940705408417,86.96,279.6,50,2,0,3.3,0,1,0,0,2,24,1,2086.95,overdue,Cable,293.8,afternoon,27.5,4,0,1,1
+9940504984931,82.84,161.0,200,1,1,2.43,1,3,1,1,4,19,0,1574.02,unpaid,ADSL,170.8,morning,7.9,4,4,1,1
+9940556689821,39.92,274.3,20,0,1,0.38,1,3,1,1,1,16,1,638.72,paid,5G,281.2,afternoon,29.1,3,1,1,1
+9940558316828,128.87,293.7,20,0,1,0.18,0,5,1,1,4,35,0,4510.29,paid,Cable,299.6,evening,17.7,3,0,1,0
+9940704007001,64.83,170.6,50,1,0,0.04,1,4,1,1,3,19,0,1231.7,paid,Cable,153.5,morning,27.5,1,0,0,1
+9940778282305,109.81,163.5,50,2,3,0.13,1,5,2,0,4,29,1,3184.49,overdue,Cable,188.7,morning,1.4,3,1,0,1
+9940703197844,55.96,97.3,100,1,1,1.59,2,5,1,1,3,17,0,951.25,paid,ADSL,95.3,afternoon,5.3,2,1,0,1
+9940554625447,18.59,105.1,100,0,3,1.48,0,1,1,1,1,8,0,148.71,paid,5G,110.5,morning,17.6,1,1,1,1
+9940559214045,93.13,212.8,200,2,0,0.18,1,5,0,0,2,30,0,2794.01,paid,5G,220.5,evening,42.5,4,0,0,1
+9940559590077,62.81,295.9,100,5,2,1.25,0,1,0,0,4,24,1,1507.4,unpaid,5G,277.0,afternoon,18.2,3,0,1,0
+9940779314869,48.48,140.8,20,2,2,0.81,1,3,2,0,3,16,0,775.7,overdue,5G,170.8,afternoon,36.7,3,0,0,1
+9940513844396,41.18,104.6,20,1,1,0.29,1,5,0,0,2,18,0,741.3,paid,GPON,104.1,night,6.1,4,1,0,0
+9940508589905,114.59,44.4,50,1,0,0.7,2,4,1,1,3,33,0,3781.31,paid,Cable,45.1,evening,16.3,2,1,0,1
+9940519424784,59.5,235.8,200,0,0,1.49,1,5,0,1,2,17,0,1011.49,paid,ADSL,227.5,morning,22.8,2,1,0,1
+9940509803838,62.2,218.5,200,2,1,5.86,0,3,1,1,1,31,0,1928.17,paid,Cable,241.5,evening,1.0,1,1,1,0
+9940501188130,107.62,68.2,100,2,3,3.65,4,4,1,1,4,32,0,3443.94,overdue,ADSL,92.1,morning,7.3,1,1,0,1
+9940507704922,70.86,128.1,50,3,0,2.57,2,3,0,0,1,26,0,1842.29,paid,5G,131.3,morning,3.7,5,0,0,1
+9940709970710,172.2,181.4,50,1,2,0.05,1,5,4,1,4,51,0,8782.14,paid,5G,152.1,afternoon,8.2,2,0,0,1
+9940707882004,64.4,226.7,100,0,0,1.67,0,1,1,0,1,23,0,1481.3,paid,5G,223.4,afternoon,10.2,3,1,0,0
+9940703098569,37.26,137.2,200,0,3,0.91,1,2,1,0,3,17,0,633.5,overdue,Cable,135.9,morning,6.9,5,1,0,1
+9940557863310,103.49,132.3,100,2,1,1.4,5,4,2,1,2,30,1,3104.8,paid,GPON,123.3,afternoon,11.1,2,0,0,1
+9940701947197,97.86,148.2,20,2,1,2.15,3,3,1,1,4,23,0,2250.7,overdue,GPON,128.5,evening,11.0,1,0,0,0
+9940505325468,27.85,252.3,200,2,0,0.9,1,5,3,0,3,14,0,389.89,paid,5G,222.3,afternoon,30.3,4,2,1,1
+9940776636047,77.11,10.0,200,1,1,0.58,1,3,0,1,3,25,0,1927.69,paid,GPON,39.4,morning,34.6,2,1,0,1
+9940555108069,83.37,73.9,20,2,1,0.13,1,1,1,1,2,30,0,2500.96,paid,Cable,88.7,night,6.2,2,2,0,0
+9940777298501,75.98,10.0,50,2,2,2.05,2,4,4,0,4,31,0,2355.45,unpaid,Cable,10.7,evening,2.6,4,2,0,1
+9940503162036,85.72,194.5,200,2,1,0.15,1,2,0,1,1,22,0,1885.91,paid,Cable,181.5,evening,29.5,2,0,0,1
+9940556455984,49.04,35.0,200,2,1,1.62,0,3,2,0,3,17,0,833.75,paid,5G,42.2,evening,1.4,1,1,0,1
+9940706803372,33.44,248.2,200,4,1,0.18,1,1,0,0,2,20,0,668.81,paid,ADSL,252.3,evening,13.1,5,0,1,0
+9940556704164,106.52,249.4,200,0,0,1.73,2,5,2,1,2,36,0,3834.62,paid,Cable,241.4,evening,8.2,5,1,1,0
+9940553603880,23.1,51.4,20,3,0,1.54,2,3,3,0,1,11,1,254.06,unpaid,GPON,59.2,evening,26.0,5,1,0,0
+9940503748434,189.01,208.4,20,0,1,7.2,0,5,0,1,3,45,0,8505.6,unpaid,ADSL,218.7,night,11.9,1,0,0,1
+9940513320275,54.34,79.3,50,0,0,0.86,2,3,3,1,3,20,1,1086.82,paid,ADSL,93.1,evening,15.5,3,0,0,1
+9940515155993,36.53,211.5,100,1,1,1.09,0,5,2,0,3,18,0,657.55,paid,5G,193.7,afternoon,10.3,5,0,0,0
+9940516273651,107.66,132.0,50,0,0,4.07,1,2,2,0,3,33,0,3552.82,paid,ADSL,140.7,afternoon,5.8,4,0,0,0
+9940704262823,112.8,38.6,50,5,2,0.58,0,1,1,1,1,38,0,4286.59,paid,ADSL,62.1,afternoon,3.3,2,0,0,1
+9940704689841,73.79,10.0,50,1,0,1.48,0,3,1,0,3,19,0,1401.92,unpaid,ADSL,15.9,evening,10.4,2,2,0,1
+9940703577702,59.72,131.1,100,3,2,1.1,0,1,1,1,2,25,0,1492.96,paid,Cable,161.1,night,23.5,2,1,0,1
+9940512969709,83.92,69.9,200,0,2,0.89,1,5,1,0,3,18,0,1510.5,overdue,Cable,66.3,evening,26.9,4,0,0,0
