phone_number,flights_per_month,total_spent,avg_ticket_price,last_flight_days,intl_ratio,business_ratio,delays,cancellations,loyalty_points,baggage_score,checkin_score,satisfaction,travel_type,extra_baggage_tendency,next_booked_flight_days,refund_requests,lounge_visits,domestic_flight_ratio,marketing_consent
+9940776397257,4,245.92,49.18,171,0.18,0.229,0,0,25947,3,3,1,Leisure,3,33,0,0,0.82,1
+9940701655669,1,195.6,97.8,12,0.494,0.203,1,1,25995,4,1,1,Leisure,3,14,0,0,0.506,1
+9940705255055,2,389.2,129.73,52,0.096,0.138,0,1,32535,1,1,0,Leisure,3,67,0,0,0.904,1
+9940556525271,0,198.13,198.13,102,0.65,0.285,2,1,9369,5,5,1,Leisure,1,53,1,0,0.35,1
+9940779550548,1,336.94,168.47,129,0.118,0.176,1,3,6427,2,4,1,Leisure,1,21,1,0,0.882,0
+9940555730067,3,367.89,91.97,104,0.972,0.746,0,0,47583,1,1,0,Business,1,46,0,1,0.028,1
+9940554084422,4,220.87,44.17,138,0.321,0.113,2,0,23669,2,5,1,Leisure,0,82,1,0,0.679,1
+9940556002136,2,101.07,33.69,88,0.185,0.007,0,0,13872,2,3,1,Leisure,1,84,1,0,0.815,1
+9940512595119,2,1922.54,640.85,27,0.953,0.903,0,0,17798,2,3,1,Business,3,78,1,0,0.047,1
+9940501816258,4,118.6,23.72,359,0.644,0.224,4,0,2858,1,2,0,Leisure,2,38,0,0,0.356,0
+9940557102845,3,206.11,51.53,225,0.487,0.067,3,0,44404,4,1,1,Leisure,0,54,0,0,0.513,1
+9940779875650,2,153.59,51.2,71,0.754,0.231,1,0,40116,1,4,1,Leisure,0,13,0,0,0.246,1
+9940508614067,0,50.0,50.0,187,0.866,0.203,0,1,35569,2,4,1,Leisure,0,88,1,0,0.134,1
+9940776252955,0,1117.09,1117.09,147,0.809,0.779,0,0,39652,4,1,1,Business,3,59,0,1,0.191,0
+9940771362283,2,137.41,45.8,241,0.356,0.08,1,1,45151,4,4,1,Leisure,3,-6,0,0,0.644,0
+9940519891738,1,50.0,25.0,187,0.396,0.3,1,0,32434,5,3,1,Leisure,2,84,0,0,0.604,1
+9940705046693,1,245.27,122.64,300,0.527,0.002,1,0,17859,3,5,1,Leisure,3,27,1,0,0.473,0
+9940503606968,2,266.52,88.84,52,0.586,0.276,0,0,4770,2,5,1,Leisure,1,17,0,0,0.414,0
+9940709032388,3,261.67,65.42,118,0.301,0.245,0,0,8123,3,4,1,Leisure,3,17,0,0,0.699,0
+9940707717624,2,370.32,123.44,211,0.136,0.218,1,0,22212,1,4,1,Leisure,3,8,0,0,0.864,0
+9940517746566,3,1649.32,412.33,185,0.439,0.814,0,0,41525,4,5,1,Business,2,6,1,1,0.561,0
+9940503499777,1,90.26,45.13,137,0.815,0.076,1,1,16867,3,2,1,Leisure,0,28,0,0,0.185,0
+9940779926268,1,196.56,98.28,283,0.276,0.049,1,0,21183,4,2,1,Leisure,3,67,0,0,0.724,0
+9940555075807,0,188.09,188.09,139,0.375,0.017,1,1,47319,2,5,1,Leisure,1,47,0,0,0.625,1
+9940775782723,0,213.36,213.36,129,0.274,0.168,0,0,28653,2,4,1,Leisure,0,42,1,0,0.726,1
+9940707758616,3,283.6,70.9,173,0.61,0.264,1,1,44315,2,4,1,Leisure,3,38,0,0,0.39,0
+9940706939960,1,174.42,87.21,203,0.952,0.046,0,0,36079,4,4,1,Leisure,2,82,0,0,0.048,0
+9940702550583,0,303.29,303.29,67,0.18,0.072,5,0,25868,4,2,1,Leisure,2,72,1,0,0.82,0
+9940503722322,0,122.87,122.87,205,0.78,0.045,1,0,31095,1,2,0,Leisure,3,31,1,0,0.22,1
+9940514250670,2,885.42,295.14,94,0.665,0.652,2,0,36494,5,1,1,Business,0,82,1,0,0.335,1
+9940559527819,2,88.89,29.63,95,0.987,0.229,1,0,40131,4,5,1,Leisure,3,86,2,0,0.013,1
+9940557430552,1,1628.72,814.36,233,0.1,0.882,0,0,35198,5,2,1,Business,1,79,1,0,0.9,1
+9940504297019,0,1532.45,1532.45,195,0.909,0.983,1,0,8811,4,2,1,Business,3,54,1,0,0.091,1
+9940557612500,1,289.49,144.75,337,0.808,0.21,0,3,12445,2,3,1,Leisure,0,35,2,0,0.192,1
+9940507646595,1,310.25,155.13,89,0.906,0.135,0,0,4365,5,4,1,Leisure,2,28,1,0,0.094,1
+9940704547994,2,418.66,139.55,184,0.751,0.901,0,0,14344,4,3,1,Business,1,62,0,0,0.249,1
+9940704628261,3,293.14,73.29,55,0.281,0.211,1,0,16861,1,3,0,Leisure,1,56,0,0,0.719,0
+9940779048642,1,50.0,25.0,133,0.417,0.031,0,0,6314,2,2,0,Leisure,3,-4,1,0,0.583,1
+9940706056369,0,96.85,96.85,291,0.109,0.091,1,0,26342,1,2,0,Leisure,0,79,1,0,0.891,1
+9940512345640,0,153.24,153.24,184,0.002,0.203,0,1,46779,4,5,1,Leisure,0,9,0,0,0.998,1
+9940777478042,3,305.37,76.34,314,0.947,0.209,2,0,37769,5,1,1,Leisure,0,-2,0,0,0.053,1
+9940556306111,2,380.64,126.88,238,0.827,0.118,0,0,43248,4,3,1,Leisure,2,65,0,0,0.173,1
+9940515580406,0,153.69,153.69,293,0.081,0.089,3,0,39533,2,1,0,Leisure,0,35,0,0,0.919,1
+9940777525937,2,193.16,64.39,47,0.455,0.077,0,0,43299,5,3,1,Leisure,3,68,0,0,0.545,1
+9940519163776,1,304.07,152.04,225,0.289,0.097,2,0,28401,4,2,1,Leisure,0,-2,0,0,0.711,1
+9940503973925,1,424.78,212.39,319,0.297,0.026,0,0,24136,2,5,1,Leisure,2,85,0,0,0.703,1
+9940554773708,1,318.79,159.4,28,0.895,0.109,0,0,38651,5,4,1,Leisure,2,53,0,0,0.105,1
+9940702705456,1,78.99,39.49,49,0.992,0.049,1,0,29855,3,5,1,Leisure,1,-1,0,0,0.008,0
+9940506823645,1,1183.15,591.57,194,0.422,0.807,1,0,28635,4,3,1,Business,0,-6,1,0,0.578,0
+9940554624424,2,1500.91,500.3,281,0.815,0.912,1,0,42435,3,3,1,Business,2,34,0,0,0.185,1
+9940504081261,0,1294.04,1294.04,347,0.166,0.672,1,2,12189,2,4,1,Business,0,42,0,1,0.834,1
+9940707268708,2,263.3,87.77,216,0.77,0.151,0,0,3588,4,2,1,Leisure,1,11,0,0,0.23,1
+9940554673409,2,97.72,32.57,330,0.051,0.199,0,0,37398,1,5,1,Leisure,1,12,0,0,0.949,1
+9940515179310,2,1279.71,426.57,174,0.342,0.819,2,1,35153,3,3,1,Business,2,-5,1,0,0.658,1
+9940514960450,2,252.9,84.3,294,0.569,0.157,1,0,29832,2,1,0,Leisure,2,12,0,0,0.431,1
+9940553326843,3,239.84,59.96,48,0.063,0.016,0,0,8316,5,3,1,Leisure,3,26,0,0,0.937,1
+9940702132263,0,203.0,203.0,253,0.118,0.099,3,0,28370,4,2,1,Leisure,3,64,3,0,0.882,1
+9940778445103,0,147.63,147.63,109,0.319,0.159,0,1,24444,2,5,1,Leisure,2,58,0,0,0.681,1
+9940551825513,0,261.73,261.73,184,0.475,0.215,0,0,40457,5,2,1,Leisure,1,9,3,0,0.525,0
+9940503923909,1,420.16,210.08,318,0.215,0.068,0,1,12484,5,4,1,Leisure,3,23,1,0,0.785,0
+9940777007408,2,390.82,130.27,160,0.318,0.227,1,0,1912,1,3,0,Leisure,1,-2,1,0,0.682,1
+9940702181654,1,387.06,193.53,30,0.169,0.686,1,0,33847,4,1,1,Business,2,83,0,1,0.831,0
+9940706899658,0,50.0,50.0,216,0.101,0.225,2,1,11595,3,4,1,Leisure,2,30,1,0,0.899,1
+9940507597593,1,1046.97,523.48,19,0.42,0.765,0,0,17873,1,1,0,Business,1,66,0,0,0.58,1
+9940516966186,1,214.61,107.3,173,0.221,0.07,1,0,34294,5,2,1,Leisure,2,36,1,0,0.779,1
+9940703745293,1,228.52,114.26,67,0.652,0.176,0,1,17691,2,2,0,Leisure,2,18,1,0,0.348,1
+9940771177897,2,1580.95,526.98,151,0.227,0.624,2,0,10944,5,4,1,Business,1,26,0,0,0.773,1
+9940558986169,1,272.62,136.31,251,0.19,0.275,1,1,1314,3,1,0,Leisure,0,85,0,0,0.81,0
+9940773938921,0,869.23,869.23,218,0.368,0.688,1,0,9627,5,1,1,Business,2,43,1,0,0.632,0
+9940778245054,1,136.66,68.33,83,0.104,0.203,0,0,511,4,1,1,Leisure,0,61,0,0,0.896,0
+9940512780288,1,147.7,73.85,334,0.041,0.261,2,0,47551,4,4,1,Leisure,1,28,3,0,0.959,0
+9940772461694,3,91.85,22.96,62,0.765,0.1,2,2,15707,4,3,1,Leisure,3,4,1,0,0.235,1
+9940518003362,1,225.99,113.0,80,0.173,0.076,0,0,46593,1,5,1,Leisure,0,21,4,0,0.827,0
+9940519457586,1,286.52,143.26,243,0.612,0.034,3,1,18772,3,1,0,Leisure,0,57,1,0,0.388,1
+9940708745672,3,1468.53,367.13,50,0.305,0.848,1,0,23457,2,5,1,Business,3,42,0,2,0.695,1
+9940707761214,1,50.0,25.0,358,0.326,0.057,1,0,6097,1,4,1,Leisure,3,66,0,0,0.674,1
+9940503220123,2,247.05,82.35,58,0.158,0.177,1,1,5150,3,2,1,Leisure,0,-4,0,0,0.842,0
+9940779218893,0,95.8,95.8,141,0.23,0.172,1,0,11706,4,3,1,Leisure,0,25,0,0,0.77,1
+9940507010641,2,259.02,86.34,255,0.572,0.039,0,0,39261,1,1,0,Leisure,3,-5,0,0,0.428,0
+9940772549480,0,95.13,95.13,277,0.588,0.208,0,0,47632,5,4,1,Leisure,2,12,0,0,0.412,0
+9940502164265,1,273.45,136.73,317,0.287,0.275,1,0,39187,2,3,1,Leisure,2,77,0,0,0.713,0
+9940708840455,3,135.26,33.81,183,0.21,0.279,1,0,14781,3,5,1,Leisure,3,22,1,0,0.79,1
+9940703476372,1,137.38,68.69,280,0.343,0.045,0,0,17945,2,3,1,Leisure,3,57,0,0,0.657,0
+9940707893030,1,280.35,140.18,244,0.088,0.247,0,0,12006,2,5,1,Leisure,1,-5,1,0,0.912,1
+9940702247890,4,144.84,28.97,148,0.529,0.224,0,1,37842,2,4,1,Leisure,0,26,0,0,0.471,1
+9940553524850,0,295.88,295.88,64,0.823,0.288,2,0,42250,1,5,1,Leisure,1,24,0,0,0.177,1
+9940703551686,0,1003.76,1003.76,206,0.63,0.514,0,1,4451,4,3,1,Business,0,27,1,1,0.37,1
+9940513529937,1,1143.24,571.62,284,0.022,0.665,0,0,7098,2,1,0,Business,2,55,0,0,0.978,1
+9940707072628,1,154.65,77.32,17,0.273,0.161,1,0,22757,4,1,1,Leisure,1,27,1,0,0.727,0
+9940559229499,1,327.62,163.81,211,0.471,0.249,3,1,46157,2,1,0,Leisure,0,-6,0,0,0.529,1
+9940559192941,0,283.0,283.0,170,0.91,0.023,2,3,2439,1,1,0,Leisure,3,76,1,0,0.09,0
+9940557673952,0,364.25,364.25,332,0.17,0.157,1,0,12774,3,1,0,Leisure,0,56,1,0,0.83,1
+9940552822701,0,50.0,50.0,272,0.074,0.135,0,0,44088,5,5,1,Leisure,0,87,0,0,0.926,0
+9940509645219,1,675.55,337.78,293,0.53,0.676,0,0,23667,1,1,0,Business,3,67,0,0,0.47,1
+9940505878710,2,154.46,51.49,289,0.559,0.246,0,0,17461,3,3,1,Leisure,2,22,0,0,0.441,1
+9940515913702,1,251.22,125.61,131,0.982,0.287,1,0,41200,3,5,1,Leisure,3,77,0,0,0.018,1
+9940507312519,2,990.91,330.3,223,0.541,0.502,0,1,8467,4,3,1,Business,3,60,1,0,0.459,1
+9940557921858,2,119.19,39.73,84,0.017,0.072,0,0,8666,3,3,1,Leisure,0,21,0,0,0.983,1
+9940709576301,2,1226.63,408.88,303,0.669,0.773,0,0,7268,4,1,1,Business,0,17,0,0,0.331,0
+9940706241415,4,50.0,10.0,122,0.206,0.25,1,2,41720,1,1,0,Leisure,1,-5,0,0,0.794,1
+9940556490543,4,50.0,10.0,126,0.814,0.089,1,2,5371,1,1,0,Leisure,0,64,2,0,0.186,1
+9940777709750,1,188.48,94.24,290,0.441,0.175,3,1,32337,1,4,1,Leisure,1,3,0,0,0.559,0
+9940553295962,0,465.41,465.41,32,0.863,0.03,0,1,5433,5,3,1,Leisure,1,85,1,0,0.137,1
+9940503769415,2,457.04,152.35,301,0.176,0.549,2,0,35141,2,4,1,Business,1,18,0,1,0.824,0
+9940706629302,0,622.66,622.66,188,0.597,0.931,1,0,23692,4,3,1,Business,0,-4,0,0,0.403,1
+9940551577154,1,243.14,121.57,5,0.702,0.156,0,0,13299,5,3,1,Leisure,0,78,0,0,0.298,0
+9940703884420,2,257.84,85.95,362,0.043,0.129,0,0,8615,2,2,0,Leisure,0,-1,0,0,0.957,1
+9940557461961,4,2267.76,453.55,314,0.474,0.719,0,0,33868,1,1,0,Business,2,29,0,1,0.526,1
+9940559785154,2,132.38,44.13,325,0.68,0.242,0,0,38135,1,5,1,Leisure,0,70,0,0,0.32,0
+9940505675466,2,50.0,16.67,320,0.623,0.089,1,0,29031,4,3,1,Leisure,2,30,0,0,0.377,1
+9940554597084,2,290.06,96.69,319,0.106,0.274,1,0,25471,5,5,1,Leisure,1,36,2,0,0.894,1
+9940704963387,1,1558.12,779.06,24,0.033,0.548,0,0,25013,3,2,1,Business,2,63,0,0,0.967,0
+9940517168848,1,329.33,164.66,221,0.217,0.902,2,0,43597,5,2,1,Business,1,46,0,0,0.783,0
+9940705900274,0,305.66,305.66,197,0.24,0.137,1,0,18902,3,2,1,Leisure,0,13,0,0,0.76,1
+9940501209048,1,169.31,84.66,348,0.598,0.006,1,0,41214,4,4,1,Leisure,3,30,0,0,0.402,0
+9940515853159,0,53.46,53.46,104,0.024,0.183,0,1,5660,2,1,0,Leisure,3,28,0,0,0.976,0
+9940554600552,4,177.35,35.47,204,0.273,0.01,0,0,36887,3,1,0,Leisure,1,-2,0,0,0.727,0
+9940777307214,3,184.45,46.11,86,0.233,0.016,1,3,47725,1,1,0,Leisure,0,73,0,0,0.767,1
+9940518875967,0,249.51,249.51,159,0.836,0.198,1,1,8558,3,1,0,Leisure,2,32,0,0,0.164,1
+9940519662035,0,142.81,142.81,65,0.355,0.149,2,0,10135,2,2,0,Leisure,2,23,1,0,0.645,1
+9940556492046,0,137.7,137.7,240,0.721,0.265,2,0,23075,3,1,0,Leisure,1,7,1,0,0.279,0
+9940774263058,2,161.44,53.81,42,0.825,0.136,1,1,30631,2,4,1,Leisure,1,38,0,0,0.175,1
+9940774995485,1,237.19,118.59,202,0.708,0.296,3,0,45856,5,1,1,Leisure,0,24,0,0,0.292,1
+9940502588154,1,290.0,145.0,241,0.112,0.006,1,0,24479,4,1,1,Leisure,1,11,0,0,0.888,0
+9940519423436,0,433.33,433.33,255,0.739,0.277,1,1,38207,4,3,1,Leisure,1,9,0,0,0.261,0
+9940778625803,2,392.89,130.96,53,0.849,0.066,0,0,18928,4,1,1,Leisure,2,83,0,0,0.151,1
+9940508685858,2,186.64,62.21,138,0.375,0.057,0,0,27219,1,2,0,Leisure,1,76,0,0,0.625,1
+9940773953110,3,128.12,32.03,151,0.888,0.146,0,0,11174,2,3,1,Leisure,3,54,0,0,0.112,1
+9940513899940,2,1574.32,524.77,355,0.689,0.789,1,0,27404,2,2,0,Business,3,17,0,0,0.311,1
+9940778709519,1,68.74,34.37,93,0.71,0.187,0,0,44755,1,1,0,Leisure,3,1,0,0,0.29,0
+9940515900935,1,1501.33,750.66,344,0.546,0.891,0,0,17261,4,2,1,Business,3,49,0,1,0.454,1
+9940557341904,3,100.96,25.24,90,0.383,0.184,0,0,43328,4,5,1,Leisure,3,1,0,0,0.617,1
+9940705408417,1,89.31,44.65,293,0.321,0.135,1,0,42334,5,4,1,Leisure,0,88,1,0,0.679,0
+9940504984931,4,1699.39,339.88,276,0.799,0.658,1,0,30565,5,2,1,Business,3,51,0,1,0.201,0
+9940556689821,1,288.85,144.42,13,0.839,0.011,2,1,45017,4,5,1,Leisure,1,89,1,0,0.161,0
+9940558316828,3,1705.62,426.4,222,0.332,0.764,1,1,42000,5,4,1,Business,0,48,1,1,0.668,0
+9940704007001,0,1233.53,1233.53,96,0.631,0.541,2,0,34182,3,2,1,Business,2,56,0,0,0.369,1
+9940778282305,0,1443.76,1443.76,14,0.723,0.797,2,0,46241,1,1,0,Business,2,38,0,1,0.277,1
+9940703197844,0,1465.65,1465.65,341,0.214,0.739,0,0,49968,4,2,1,Business,2,22,0,0,0.786,1
+9940554625447,0,154.03,154.03,277,0.63,0.151,0,0,15938,2,5,1,Leisure,3,-7,1,0,0.37,0
+9940559214045,1,121.64,60.82,296,0.339,0.034,1,0,39136,4,1,1,Leisure,1,41,0,0,0.661,0
+9940559590077,0,1249.13,1249.13,233,0.273,0.744,1,0,23496,4,4,1,Business,3,80,0,0,0.727,1
+9940779314869,2,226.52,75.51,93,0.316,0.258,0,1,41144,4,5,1,Leisure,2,42,1,0,0.684,0
+9940513844396,2,291.16,97.05,231,0.326,0.034,1,0,7327,2,4,1,Leisure,2,62,0,0,0.674,1
+9940508589905,0,1018.92,1018.92,209,0.495,0.546,0,0,25173,5,5,1,Business,2,78,0,0,0.505,1
+9940519424784,2,65.43,21.81,243,0.355,0.126,1,0,28743,5,3,1,Leisure,1,29,0,0,0.645,0
+9940509803838,1,306.42,153.21,10,0.719,0.236,1,0,23502,4,2,1,Leisure,2,62,0,0,0.281,1
+9940501188130,2,194.57,64.86,182,0.899,0.151,0,0,47095,5,2,1,Leisure,2,46,0,0,0.101,1
+9940507704922,3,1342.31,335.58,302,0.773,0.818,0,1,18318,3,1,0,Business,1,78,1,0,0.227,1
+9940709970710,1,1302.91,651.45,154,0.551,0.801,0,0,30039,5,3,1,Business,2,59,0,0,0.449,1
+9940707882004,2,1091.7,363.9,180,0.682,0.837,2,0,24452,4,3,1,Business,0,-6,0,0,0.318,0
+9940703098569,2,86.14,28.71,330,0.898,0.005,1,1,25558,3,5,1,Leisure,3,-4,1,0,0.102,1
+9940557863310,3,65.85,16.46,179,0.592,0.009,1,0,29909,5,1,1,Leisure,0,87,1,0,0.408,1
+9940701947197,2,195.2,65.07,172,0.054,0.288,4,1,28294,5,2,1,Leisure,3,31,0,0,0.946,0
+9940505325468,1,196.38,98.19,51,0.298,0.297,1,1,27060,4,1,1,Leisure,1,59,0,0,0.702,1
+9940776636047,1,290.23,145.12,160,0.331,0.012,0,0,46254,2,3,1,Leisure,2,79,1,0,0.669,1
+9940555108069,0,326.78,326.78,13,0.984,0.057,0,0,10173,1,2,0,Leisure,1,83,0,0,0.016,0
+9940777298501,3,903.87,225.97,306,0.738,0.861,0,0,6908,1,1,0,Business,2,64,0,0,0.262,0
+9940503162036,2,232.83,77.61,344,0.428,0.193,1,0,21982,1,4,1,Leisure,0,69,0,0,0.572,1
+9940556455984,1,245.94,122.97,189,0.352,0.052,1,1,42238,5,2,1,Leisure,2,67,0,0,0.648,1
+9940706803372,4,255.68,51.14,267,0.962,0.064,0,0,24860,5,4,1,Leisure,2,61,0,0,0.038,1
+9940556704164,2,1297.87,432.62,216,0.766,0.983,2,2,18003,3,4,1,Business,3,86,1,1,0.234,0
+9940553603880,2,252.17,84.06,96,0.205,0.015,1,0,27039,3,2,1,Leisure,0,0,0,0,0.795,1
+9940503748434,2,116.86,38.95,77,0.474,0.16,0,0,47900,4,1,1,Leisure,1,19,0,0,0.526,0
+9940513320275,0,257.19,257.19,9,0.226,0.265,1,0,2776,5,3,1,Leisure,1,7,1,0,0.774,0
+9940515155993,2,84.33,28.11,267,0.99,0.296,3,1,31095,3,5,1,Leisure,3,69,0,0,0.01,0
+9940516273651,0,205.86,205.86,232,0.572,0.162,2,1,36472,2,4,1,Leisure,1,13,0,0,0.428,0
+9940704262823,1,566.8,283.4,68,0.081,0.982,1,1,18562,3,2,1,Business,2,7,0,0,0.919,1
+9940704689841,4,412.97,82.59,317,0.311,0.231,0,1,48413,4,5,1,Leisure,2,40,0,0,0.689,1
+9940703577702,1,110.31,55.16,23,0.531,0.271,2,0,28001,4,1,1,Leisure,2,11,1,0,0.469,1
+9940512969709,0,857.3,857.3,172,0.513,0.687,0,1,9420,3,5,1,Business,2,68,0,0,0.487,1
+9940776916943,0,346.4,346.4,8,0.22,0.254,1,0,21418,1,1,0,Leisure,0,34,0,0,0.78,1
+9940508344503,2,284.74,94.91,243,0.685,0.128,0,1,43359,1,2,0,Leisure,1,15,1,0,0.315,1
+9940513616339,2,223.75,74.58,176,0.233,0.135,1,2,43762,4,3,1,Leisure,2,48,0,0,0.767,0
+9940508745128,2,148.03,49.34,348,0.983,0.173,1,1,10231,2,3,1,Leisure,3,88,1,0,0.017,1
+9940516138802,1,1070.79,535.4,229,0.825,0.799,1,0,17705,5,1,1,Business,2,64,0,0,0.175,1
+9940772509295,0,855.6,855.6,177,0.447,0.646,2,0,2646,1,5,1,Business,1,57,0,2,0.553,1
+9940514293991,2,142.04,47.35,157,0.366,0.262,0,0,5456,3,3,1,Leisure,2,60,0,0,0.634,0
+9940771067563,0,125.47,125.47,296,0.177,0.286,1,0,37233,3,3,1,Leisure,3,64,0,0,0.823,0
+9940551352525,0,144.32,144.32,303,0.084,0.163,1,0,26708,1,5,1,Leisure,1,53,0,0,0.916,0
+9940704025169,3,139.66,34.92,127,0.755,0.237,1,0,43045,5,1,1,Leisure,0,80,0,0,0.245,1
+9940555090161,3,292.03,73.01,343,0.887,0.068,2,1,725,2,3,1,Leisure,3,18,0,0,0.113,1
+9940518177596,0,1159.45,1159.45,5,0.499,0.92,1,0,42208,5,4,1,Business,1,42,0,0,0.501,1
+9940702208721,1,1458.9,729.45,307,0.895,0.673,0,2,31528,2,4,1,Business,3,63,0,0,0.105,1
+9940778552563,2,222.65,74.22,311,0.949,0.052,1,0,4404,3,3,1,Leisure,2,7,1,0,0.051,0
+9940513110704,1,1442.61,721.31,136,0.59,0.725,2,2,33189,5,4,1,Business,3,39,0,1,0.41,1
+9940702244961,2,262.6,87.53,346,0.254,0.009,1,0,333,5,4,1,Leisure,2,34,0,0,0.746,1
+9940517299033,3,908.64,227.16,177,0.817,0.604,2,3,47419,1,2,0,Business,0,22,0,2,0.183,1
+9940707969022,0,206.02,206.02,22,0.219,0.067,1,0,44354,5,5,1,Leisure,1,44,0,0,0.781,0
+9940706444209,1,306.3,153.15,128,0.929,0.149,0,0,16403,4,4,1,Leisure,0,61,0,0,0.071,0
+9940552041337,2,1711.08,570.36,237,0.191,0.535,2,0,12891,1,2,0,Business,0,87,0,0,0.809,1
+9940702038102,0,1775.54,1775.54,179,0.355,0.638,2,0,2377,3,1,0,Business,2,36,0,2,0.645,0
+9940514510562,3,385.85,96.46,258,0.121,0.745,2,0,10791,1,3,0,Business,2,-1,1,1,0.879,0
+9940505055400,3,368.69,92.17,311,0.283,0.132,2,1,28439,5,3,1,Leisure,3,88,0,0,0.717,1
+9940509987484,1,1581.0,790.5,316,0.504,0.67,3,0,42279,5,3,1,Business,0,24,0,0,0.496,0
+9940553578275,1,203.83,101.91,234,0.388,0.24,2,0,8563,2,3,1,Leisure,0,31,0,0,0.612,1
+9940772733317,0,228.01,228.01,246,0.629,0.268,2,0,14640,3,2,1,Leisure,1,65,0,0,0.371,1
+9940509513110,4,1165.91,233.18,70,0.366,0.797,4,3,13032,4,3,1,Business,3,24,0,0,0.634,0
+9940552385672,0,50.0,50.0,300,0.569,0.981,3,0,24636,4,3,1,Business,0,61,1,0,0.431,1
+9940701237622,1,2022.5,1011.25,212,0.629,0.852,0,0,1046,3,5,1,Business,2,-7,1,1,0.371,1
+9940514805202,3,77.32,19.33,268,0.926,0.138,0,0,46264,4,4,1,Leisure,1,74,2,0,0.074,0
+9940704609735,4,271.52,54.3,162,0.882,0.061,1,0,9042,3,4,1,Leisure,3,43,0,0,0.118,0
+9940516577016,1,263.27,131.63,140,0.265,0.252,1,0,34680,2,1,0,Leisure,3,85,1,0,0.735,0
+9940778899611,0,129.73,129.73,266,0.471,0.014,3,1,25088,4,2,1,Leisure,2,51,0,0,0.529,0
+9940559396106,2,67.58,22.53,49,0.099,0.178,2,1,21776,3,5,1,Leisure,1,47,0,0,0.901,1
+9940553606749,1,210.43,105.22,80,0.222,0.281,1,0,12035,2,2,0,Leisure,1,40,1,0,0.778,0
+9940509827389,2,115.57,38.52,326,0.294,0.081,0,0,25123,2,5,1,Leisure,2,75,0,0,0.706,1
+9940556693949,0,226.89,226.89,174,0.954,0.076,1,1,25006,4,1,1,Leisure,0,10,0,0,0.046,1
+9940771626765,2,120.66,40.22,347,0.756,0.031,3,1,16443,4,1,1,Leisure,2,86,0,0,0.244,1
+9940509446017,1,349.76,174.88,194,0.897,0.151,1,0,22926,5,1,1,Leisure,0,28,0,0,0.103,0
